DATE,Avg. Price,Chicago,New England,Buffalo,New York,Southeast,Southwest,Los Angeles,San Francisco,Pacific NW,
Oct-14,,$75.00,$75.00,$65.00,$75.00,$75.00,$75.00,$95.00,$95.00,$65.00,
Sep-14,$77.22,$75.00,$75.00,$65.00,$75.00,$75.00,$75.00,$95.00,$95.00,$65.00,
Aug-14,$77.22,$75.00,$75.00,$65.00,$75.00,$75.00,$75.00,$95.00,$95.00,$65.00,
Jul-14,$77.22,$75.00,$75.00,$65.00,$75.00,$75.00,$75.00,$95.00,$95.00,$65.00,
Jun-14,$77.22,$75.00,$75.00,$65.00,$75.00,$75.00,$75.00,$95.00,$95.00,$65.00,
May-14,$77.22,$75.00,$75.00,$65.00,$75.00,$75.00,$75.00,$95.00,$95.00,$65.00,
Apr-14,$77.22,$75.00,$75.00,$65.00,$75.00,$75.00,$75.00,$95.00,$95.00,$65.00,
Mar-14,$77.22,$75.00,$75.00,$65.00,$75.00,$75.00,$75.00,$95.00,$95.00,$65.00,
Feb-14,$76.67,$70.00,$75.00,$65.00,$75.00,$75.00,$75.00,$95.00,$95.00,$65.00,
Jan-14,$76.67,$70.00,$75.00,$65.00,$75.00,$75.00,$75.00,$95.00,$95.00,$65.00,
Dec-13,$76.67,$70.00,$75.00,$65.00,$75.00,$75.00,$75.00,$95.00,$95.00,$65.00,
Nov-13,$77.78,$70.00,$75.00,$65.00,$75.00,$75.00,$75.00,$100.00,$100.00,$65.00,
Oct-13,$77.78,$70.00,$75.00,$65.00,$75.00,$75.00,$75.00,$100.00,$100.00,$65.00,
Sep-13,$77.78,$70.00,$75.00,$65.00,$75.00,$75.00,$75.00,$100.00,$100.00,$65.00, 
Aug-13,$78.89,$70.00,$75.00,$65.00,$75.00,$75.00,$75.00,$100.00,$100.00,$75.00,
Jul-13,$78.89,$70.00,$75.00,$65.00,$75.00,$75.00,$75.00,$100.00,$100.00,$75.00,
Jun-13,$78.89,$70.00,$75.00,$65.00,$75.00,$75.00,$75.00,$100.00,$100.00,$75.00,
May-13,$78.89,$70.00,$75.00,$65.00,$75.00,$75.00,$75.00,$100.00,$100.00,$75.00,
Apr-13,$82.22,$70.00,$75.00,$65.00,$75.00,$75.00,$75.00,$110.00,$110.00,$85.00,
Mar-13,$82.22,$70.00,$75.00,$65.00,$75.00,$75.00,$75.00,$110.00,$110.00,$85.00,
Feb-13,$73.89,$65.00,$60.00,$50.00,$60.00,$60.00,$65.00,$110.00,$110.00,$85.00,
Jan-13,$68.89,$65.00,$60.00,$50.00,$60.00,$60.00,$65.00,$110.00,$75.00,$75.00,
Dec-12,$77.22,$60.00,$60.00,$50.00,$60.00,$60.00,$65.00,$110.00,$110.00,$120.00,
Nov-12,$80.56,$60.00,$60.00,$50.00,$60.00,$60.00,$65.00,$125.00,$125.00,$120.00,
Oct-12,$78.33,$60.00,$60.00,$50.00,$60.00,$60.00,$65.00,$115.00,$115.00,$120.00,
Sep-12,$80.56,$70.00,$70.00,$60.00,$70.00,$70.00,$70.00,$105.00,$105.00,$105.00,
Aug-12,$98.89,$90.00,$90.00,$80.00,$90.00,$90.00,$90.00,$120.00,$120.00,$120.00,
Jul-12,$103.89,$90.00,$90.00,$80.00,$90.00,$90.00,$90.00,$135.00,$135.00,$135.00,
Jun-12,$103.89,$90.00,$90.00,$80.00,$90.00,$90.00,$90.00,$135.00,$135.00,$135.00,
Apr-12,$103.89,$90.00,$90.00,$80.00,$90.00,$90.00,$90.00,$135.00,$135.00,$135.00,
Mar-12,$103.89,$90.00,$90.00,$80.00,$90.00,$90.00,$90.00,$135.00,$135.00,$135.00,
Feb-12,$103.89,$90.00,$90.00,$80.00,$90.00,$90.00,$90.00,$135.00,$135.00,$135.00,
Jan-12,$108.89,$100.00,$100.00,$90.00,$100.00,$100.00,$100.00,$130.00,$130.00,$130.00,
Dec-11,$108.89,$100.00,$100.00,$90.00,$100.00,$100.00,$100.00,$130.00,$130.00,$130.00,
Nov-11,$125.56,$120.00,$120.00,$110.00,$120.00,$120.00,$120.00,$140.00,$140.00,$140.00,
Oct-11,$150.56,$140.00,$140.00,$130.00,$140.00,$140.00,$140.00,$175.00,$175.00,$175.00,
Sep-11,$152.22,$140.00,$140.00,$130.00,$140.00,$140.00,$140.00,$180.00,$180.00,$180.00,
Aug-11,$152.22,$140.00,$140.00,$130.00,$140.00,$140.00,$140.00,$180.00,$180.00,$180.00,
Jul-11,$148.89,$140.00,$140.00,$130.00,$140.00,$140.00,$140.00,$170.00,$170.00,$170.00,
Jun-11,$148.89,$140.00,$140.00,$130.00,$140.00,$140.00,$140.00,$170.00,$170.00,$170.00,
May-11,$148.89,$140.00,$140.00,$130.00,$140.00,$140.00,$140.00,$170.00,$170.00,$170.00,
Apr-11,$143.33,$130.00,$130.00,$130.00,$130.00,$130.00,$130.00,$170.00,$170.00,$170.00,
Mar-11,$118.89,$100.00,$90.00,$90.00,$90.00,$95.00,$95.00,$170.00,$170.00,$170.00,
Feb-11,$117.22,$100.00,$90.00,$90.00,$90.00,$95.00,$95.00,$165.00,$165.00,$165.00,
Jan-11,$113.89,$100.00,$90.00,$90.00,$90.00,$95.00,$95.00,$155.00,$155.00,$155.00,
Dec-10,$109.44,$95.00,$85.00,$85.00,$85.00,$85.00,$85.00,$155.00,$155.00,$155.00,
Nov-10,$106.11,$90.00,$80.00,$80.00,$80.00,$80.00,$80.00,$155.00,$155.00,$155.00,
Oct-10,$97.78,$85.00,$75.00,$75.00,$75.00,$75.00,$75.00,$140.00,$140.00,$140.00,
Sep-10,$94.44,$85.00,$75.00,$75.00,$75.00,$75.00,$75.00,$130.00,$130.00,$130.00,
Aug-10,$91.11,$85.00,$75.00,$75.00,$75.00,$75.00,$75.00,$120.00,$120.00,$120.00,
Jul-10,$87.78,$80.00,$70.00,$70.00,$70.00,$70.00,$70.00,$120.00,$120.00,$120.00,
Jun-10,$87.78,$80.00,$70.00,$70.00,$70.00,$70.00,$70.00,$120.00,$120.00,$120.00,
May-10,$87.22,$75.00,$70.00,$70.00,$70.00,$70.00,$70.00,$120.00,$120.00,$120.00,
Apr-10,$90.56,$75.00,$70.00,$70.00,$70.00,$70.00,$70.00,$130.00,$130.00,$130.00,
Mar-10,$90.56,$75.00,$70.00,$70.00,$70.00,$70.00,$70.00,$130.00,$130.00,$130.00,
Feb-10,$80.56,$70.00,$65.00,$65.00,$65.00,$65.00,$65.00,$110.00,$110.00,$110.00,
Jan-10,$79.44,$60.00,$65.00,$65.00,$65.00,$65.00,$65.00,$110.00,$110.00,$110.00,
Dec-09,$71.67,$55.00,$55.00,$55.00,$55.00,$70.00,$75.00,$100.00,$100.00,$80.00,
Nov-09,$76.11,$60.00,$65.00,$65.00,$65.00,$65.00,$65.00,$100.00,$100.00,$100.00,
Oct-09,$67.78,$50.00,$55.00,$55.00,$55.00,$55.00,$55.00,$95.00,$95.00,$95.00,
Sep-09,$68.33,$55.00,$55.00,$55.00,$55.00,$55.00,$55.00,$95.00,$95.00,$95.00,
Aug-09,$58.33,$45.00,$45.00,$45.00,$45.00,$45.00,$45.00,$85.00,$85.00,$85.00,
Jul-09,$49.44,$35.00,$40.00,$40.00,$40.00,$40.00,$40.00,$70.00,$70.00,$70.00,
Jun-09,$41.67,$25.00,$30.00,$30.00,$30.00,$25.00,$25.00,$70.00,$70.00,$70.00,
May-09,$38.33,$25.00,$30.00,$30.00,$30.00,$25.00,$25.00,$60.00,$60.00,$60.00,
Apr-09,$35.00,$25.00,$30.00,$30.00,$30.00,$25.00,$25.00,$50.00,$50.00,$50.00,
Mar-09,$30.00,$20.00,$25.00,$25.00,$25.00,$20.00,$20.00,$45.00,$45.00,$45.00,
Feb-09,$29.44,$20.00,$25.00,$25.00,$20.00,$20.00,$20.00,$45.00,$45.00,$45.00,
Jan-09,$28.33,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$45.00,$45.00, 
Dec-08,$48.33,$25.00,$55.00,$55.00,$55.00,$55.00,$55.00,$45.00,$45.00,$45.00, 
Nov-08,$60.00,$55.00,$70.00,$70.00,$70.00,$70.00,$70.00,$45.00,$45.00,$45.00, 
Oct-08,$90.56,$85.00,$80.00,$80.00,$80.00,$80.00,$80.00,$110.00,$110.00,$110.00, 
Sep-08,$100.56,$95.00,$90.00,$90.00,$90.00,$90.00,$90.00,$120.00,$120.00,$120.00, 
Aug-08,$102.22,$95.00,$90.00,$90.00,$90.00,$90.00,$90.00,$125.00,$125.00,$125.00, 
Jul-08,$103.89,$95.00,$90.00,$90.00,$90.00,$90.00,$90.00,$130.00,$130.00,$130.00, 
Jun-08,$103.89,$95.00,$90.00,$90.00,$90.00,$90.00,$90.00,$130.00,$130.00,$130.00, 
May-08,$105.56,$95.00,$90.00,$90.00,$90.00,$90.00,$90.00,$135.00,$135.00,$135.00, 
Apr-08,$107.22,$95.00,$90.00,$90.00,$90.00,$90.00,$90.00,$140.00,$140.00,$140.00, 
Mar-08,$110.56,$95.00,$90.00,$90.00,$90.00,$90.00,$90.00,$150.00,$150.00,$150.00, 
Feb-08,$110.56,$95.00,$90.00,$90.00,$90.00,$90.00,$90.00,$150.00,$150.00,$150.00, 
Jan-08,$105.56,$95.00,$90.00,$90.00,$90.00,$90.00,$90.00,$135.00,$135.00,$135.00, 
Dec-07,$105.56,$95.00,$90.00,$90.00,$90.00,$90.00,$90.00,$135.00,$135.00,$135.00, 
Nov-07,$105.56,$95.00,$90.00,$90.00,$90.00,$90.00,$90.00,$135.00,$135.00,$135.00, 
Oct-07,$105.56,$95.00,$90.00,$90.00,$90.00,$90.00,$90.00,$135.00,$135.00,$135.00, 
Sep-07,$102.22,$95.00,$90.00,$90.00,$90.00,$90.00,$90.00,$125.00,$125.00,$125.00, 
Aug-07,$102.22,$95.00,$90.00,$90.00,$90.00,$90.00,$90.00,$125.00,$125.00,$125.00, 
Jul-07,$102.22,$95.00,$90.00,$90.00,$90.00,$90.00,$90.00,$125.00,$125.00,$125.00, 
Jun-07,$92.78,$90.00,$80.00,$80.00,$80.00,$80.00,$80.00,$115.00,$115.00,$115.00, 
May-07,$92.22,$85.00,$80.00,$80.00,$80.00,$80.00,$80.00,$115.00,$115.00,$115.00, 
Apr-07,$92.22,$85.00,$80.00,$80.00,$80.00,$80.00,$80.00,$115.00,$115.00,$115.00, 
Mar-07,$91.11,$75.00,$80.00,$80.00,$80.00,$80.00,$80.00,$115.00,$115.00,$115.00, 
Feb-07,$76.11,$55.00,$65.00,$65.00,$65.00,$60.00,$60.00,$105.00,$105.00,$105.00, 
Jan-07,$67.78,$45.00,$60.00,$60.00,$60.00,$50.00,$50.00,$95.00,$95.00,$95.00, 
Dec-06,$64.44,$45.00,$60.00,$60.00,$60.00,$50.00,$50.00,$85.00,$85.00,$85.00, 
Nov-06,$57.78,$45.00,$60.00,$60.00,$60.00,$50.00,$50.00,$65.00,$65.00,$65.00, 
Oct-06,$61.67,$50.00,$70.00,$70.00,$70.00,$50.00,$50.00,$65.00,$65.00,$65.00, 
Sep-06,$61.67,$50.00,$70.00,$70.00,$70.00,$50.00,$50.00,$65.00,$65.00,$65.00, 
Aug-06,$60.00,$50.00,$65.00,$65.00,$65.00,$50.00,$50.00,$65.00,$65.00,$65.00, 
Jul-06,$51.67,$50.00,$55.00,$55.00,$55.00,$50.00,$50.00,$50.00,$50.00,$50.00, 
Jun-06,$49.44,$45.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00, 
May-06,$49.44,$45.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00, 
Apr-06,$49.44,$45.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00, 
Mar-06,$49.44,$45.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00, 
Feb-06,$49.44,$45.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00, 
Jan-06,$53.33,$45.00,$50.00,$50.00,$50.00,$65.00,$70.00,$50.00,$50.00,$50.00, 
Dec-05,$65.00,$45.00,$75.00,$75.00,$75.00,$65.00,$70.00,$60.00,$60.00,$60.00, 
Nov-05,$65.56,$50.00,$75.00,$75.00,$75.00,$65.00,$70.00,$60.00,$60.00,$60.00, 
Oct-05,$71.11,$55.00,$90.00,$90.00,$90.00,$65.00,$70.00,$60.00,$60.00,$60.00, 
Sep-05,$77.22,$65.00,$90.00,$90.00,$90.00,$65.00,$70.00,$75.00,$75.00,$75.00, 
Aug-05,$78.33,$70.00,$90.00,$90.00,$90.00,$70.00,$70.00,$75.00,$75.00,$75.00, 
Jul-05,$78.33,$70.00,$90.00,$90.00,$90.00,$70.00,$70.00,$75.00,$75.00,$75.00, 
Jun-05,$78.33,$70.00,$90.00,$90.00,$90.00,$70.00,$70.00,$75.00,$75.00,$75.00, 
May-05,$78.33,$70.00,$90.00,$90.00,$90.00,$70.00,$70.00,$75.00,$75.00,$75.00, 
Apr-05,$77.22,$70.00,$90.00,$85.00,$85.00,$70.00,$70.00,$75.00,$75.00,$75.00, 
Mar-05,$77.22,$70.00,$90.00,$85.00,$85.00,$70.00,$70.00,$75.00,$75.00,$75.00, 
Feb-05,$77.22,$70.00,$90.00,$85.00,$85.00,$70.00,$70.00,$75.00,$75.00,$75.00, 
Jan-05,$75.00,$65.00,$85.00,$80.00,$80.00,$70.00,$70.00,$75.00,$75.00,$75.00, 
Dec-04,$75.00,$65.00,$85.00,$80.00,$80.00,$70.00,$70.00,$75.00,$75.00,$75.00, 
Nov-04,$75.00,$65.00,$85.00,$80.00,$80.00,$70.00,$70.00,$75.00,$75.00,$75.00, 
Oct-04,$75.00,$65.00,$85.00,$80.00,$80.00,$70.00,$70.00,$75.00,$75.00,$75.00, 
Sep-04,$74.44,$65.00,$80.00,$80.00,$80.00,$70.00,$70.00,$75.00,$75.00,$75.00, 
Aug-04,$74.44,$65.00,$80.00,$80.00,$80.00,$70.00,$70.00,$75.00,$75.00,$75.00, 
Jul-04,$69.44,$60.00,$75.00,$75.00,$75.00,$65.00,$65.00,$70.00,$70.00,$70.00, 
Jun-04,$67.78,$60.00,$70.00,$70.00,$70.00,$65.00,$65.00,$70.00,$70.00,$70.00, 
May-04,$67.78,$60.00,$70.00,$70.00,$70.00,$65.00,$65.00,$70.00,$70.00,$70.00, 
Apr-04,$67.78,$60.00,$70.00,$70.00,$70.00,$65.00,$65.00,$70.00,$70.00,$70.00,
Mar-04,$67.78,$60.00,$70.00,$70.00,$70.00,$65.00,$65.00,$70.00,$70.00,$70.00,
Feb-04,$62.78,$55.00,$65.00,$65.00,$65.00,$60.00,$60.00,$65.00,$65.00,$65.00,
Jan-04,$61.11,$55.00,$60.00,$60.00,$60.00,$60.00,$60.00,$65.00,$65.00,$65.00,
Dec-03,$61.11,$55.00,$60.00,$60.00,$60.00,$60.00,$60.00,$65.00,$65.00,$65.00,
Nov-03,$62.78,$55.00,$65.00,$65.00,$65.00,$60.00,$60.00,$65.00,$65.00,$65.00,
Oct-03,$65.56,$55.00,$75.00,$70.00,$75.00,$60.00,$60.00,$65.00,$65.00,$65.00,
Sep-03,$64.44,$55.00,$70.00,$70.00,$70.00,$60.00,$60.00,$65.00,$65.00,$65.00,
Aug-03,$62.78,$55.00,$65.00,$65.00,$65.00,$60.00,$60.00,$65.00,$65.00,$65.00,
Jul-03,$64.44,$55.00,$60.00,$60.00,$60.00,$60.00,$60.00,$75.00,$75.00,$75.00,
Jun-03,$58.89,$45.00,$55.00,$55.00,$55.00,$55.00,$55.00,$70.00,$70.00,$70.00,
May-03,$58.89,$45.00,$55.00,$55.00,$55.00,$55.00,$55.00,$70.00,$70.00,$70.00,
Apr-03,$58.89,$45.00,$55.00,$55.00,$55.00,$55.00,$55.00,$70.00,$70.00,$70.00,
Mar-03,$58.89,$45.00,$55.00,$55.00,$55.00,$55.00,$55.00,$70.00,$70.00,$70.00,
Feb-03,$54.44,$45.00,$50.00,$50.00,$50.00,$50.00,$50.00,$65.00,$65.00,$65.00,
Jan-03,$54.44,$45.00,$50.00,$50.00,$50.00,$50.00,$50.00,$65.00,$65.00,$65.00,
Dec-02,$55.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$65.00,$65.00,$65.00,
Nov-02,$55.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$65.00,$65.00,$65.00,
Oct-02,$55.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$65.00,$65.00,$65.00,
Sep-02,$55.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$65.00,$65.00,$65.00,
Aug-02,$55.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$65.00,$65.00,$65.00,
Jul-02,$54.44,$45.00,$50.00,$50.00,$50.00,$50.00,$50.00,$65.00,$65.00,$65.00,
Jun-02,$38.33,$30.00,$35.00,$35.00,$35.00,$35.00,$35.00,$50.00,$50.00,$40.00,
May-02,$38.33,$30.00,$35.00,$35.00,$35.00,$35.00,$35.00,$50.00,$50.00,$40.00,
Apr-02,$38.33,$30.00,$35.00,$35.00,$35.00,$35.00,$35.00,$50.00,$50.00,$40.00,
Mar-02,$38.33,$30.00,$35.00,$35.00,$35.00,$35.00,$35.00,$50.00,$50.00,$40.00,
Feb-02,$38.33,$30.00,$35.00,$35.00,$35.00,$35.00,$35.00,$50.00,$50.00,$40.00,
Jan-02,$38.33,$30.00,$35.00,$35.00,$35.00,$35.00,$35.00,$50.00,$50.00,$40.00,
Dec-01,$38.33,$30.00,$35.00,$35.00,$35.00,$35.00,$35.00,$50.00,$50.00,$40.00,
Nov-01,$38.33,$30.00,$35.00,$35.00,$35.00,$35.00,$35.00,$50.00,$50.00,$40.00,
Oct-01,$41.67,$30.00,$35.00,$35.00,$35.00,$40.00,$40.00,$60.00,$60.00,$40.00,
Sep-01,$41.67,$30.00,$35.00,$35.00,$35.00,$40.00,$40.00,$60.00,$60.00,$40.00,
Aug-01,$41.67,$30.00,$35.00,$35.00,$35.00,$40.00,$40.00,$60.00,$60.00,$40.00,
Jul-01,$41.67,$30.00,$35.00,$35.00,$35.00,$40.00,$40.00,$60.00,$60.00,$40.00,
Jun-01,$41.67,$30.00,$35.00,$35.00,$35.00,$40.00,$40.00,$60.00,$60.00,$40.00,
May-01,$41.67,$30.00,$35.00,$35.00,$35.00,$40.00,$40.00,$60.00,$60.00,$40.00,
Apr-01,$41.67,$30.00,$35.00,$35.00,$35.00,$40.00,$40.00,$60.00,$60.00,$40.00,
Mar-01,$41.67,$30.00,$35.00,$35.00,$35.00,$40.00,$40.00,$60.00,$60.00,$40.00,
Feb-01,$41.67,$30.00,$35.00,$35.00,$35.00,$40.00,$40.00,$60.00,$60.00,$40.00,
Jan-01,$41.67,$30.00,$35.00,$35.00,$35.00,$40.00,$40.00,$60.00,$60.00,$40.00,
Dec-00,$42.22,$35.00,$35.00,$35.00,$35.00,$40.00,$40.00,$60.00,$60.00,$40.00,
Nov-00,$44.44,$35.00,$35.00,$35.00,$35.00,$40.00,$40.00,$60.00,$60.00,$60.00,
Oct-00,$44.44,$35.00,$35.00,$35.00,$35.00,$40.00,$40.00,$60.00,$60.00,$60.00,
Sep-00,$51.11,$45.00,$45.00,$45.00,$45.00,$50.00,$50.00,$60.00,$60.00,$60.00,
Aug-00,$53.33,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$60.00,$60.00,$60.00,
Jul-00,$100.00,$95.00,$95.00,$95.00,$95.00,$95.00,$95.00,$110.00,$110.00,$110.00,
Jun-00,$100.00,$95.00,$95.00,$95.00,$95.00,$95.00,$95.00,$110.00,$110.00,$110.00,
May-00,$90.00,$85.00,$85.00,$85.00,$85.00,$85.00,$85.00,$100.00,$100.00,$100.00,
Apr-00,$80.00,$75.00,$75.00,$75.00,$75.00,$75.00,$75.00,$90.00,$90.00,$90.00,
Mar-00,$70.00,$65.00,$65.00,$65.00,$65.00,$65.00,$65.00,$80.00,$80.00,$80.00,
Feb-00,$63.33,$60.00,$60.00,$60.00,$60.00,$60.00,$60.00,$70.00,$70.00,$70.00,
Jan-00,$53.33,$50.00,$50.00,$45.00,$50.00,$45.00,$45.00,$65.00,$65.00,$65.00,
Dec-99,$52.78,$50.00,$45.00,$45.00,$50.00,$45.00,$45.00,$65.00,$65.00,$65.00,
Nov-99,$52.78,$50.00,$45.00,$45.00,$50.00,$45.00,$45.00,$65.00,$65.00,$65.00,
Oct-99,$52.78,$50.00,$45.00,$45.00,$50.00,$45.00,$45.00,$65.00,$65.00,$65.00,
Sep-99,$42.78,$40.00,$35.00,$35.00,$40.00,$35.00,$35.00,$55.00,$55.00,$55.00,
Aug-99,$42.78,$40.00,$35.00,$35.00,$40.00,$35.00,$35.00,$55.00,$55.00,$55.00,
Jul-99,$42.22,$40.00,$35.00,$35.00,$35.00,$35.00,$35.00,$55.00,$55.00,$55.00,
Jun-99,$37.22,$35.00,$30.00,$30.00,$30.00,$30.00,$30.00,$50.00,$50.00,$50.00,
May-99,$30.56,$30.00,$25.00,$25.00,$20.00,$25.00,$25.00,$45.00,$40.00,$40.00,
Apr-99,$30.56,$30.00,$25.00,$25.00,$20.00,$25.00,$25.00,$45.00,$40.00,$40.00,
Mar-99,$30.56,$30.00,$25.00,$25.00,$20.00,$25.00,$25.00,$45.00,$40.00,$40.00,
Feb-99,$28.33,$25.00,$25.00,$25.00,$20.00,$25.00,$25.00,$40.00,$35.00,$35.00,
Jan-99,$25.00,$25.00,$25.00,$25.00,$20.00,$25.00,$25.00,$30.00,$25.00,$25.00,
Dec-98,$25.00,$25.00,$25.00,$25.00,$20.00,$25.00,$25.00,$30.00,$25.00,$25.00,
Nov-98,$25.00,$25.00,$25.00,$25.00,$20.00,$25.00,$25.00,$30.00,$25.00,$25.00,
Oct-98,$30.00,$30.00,$30.00,$30.00,$25.00,$30.00,$30.00,$35.00,$30.00,$30.00,
Sep-98,$35.00,$35.00,$35.00,$35.00,$30.00,$35.00,$35.00,$40.00,$35.00,$35.00,
Aug-98,$40.00,$40.00,$40.00,$40.00,$35.00,$40.00,$40.00,$45.00,$40.00,$40.00,
Jul-98,$40.00,$40.00,$40.00,$40.00,$35.00,$40.00,$40.00,$45.00,$40.00,$40.00,
Jun-98,$40.00,$40.00,$40.00,$40.00,$35.00,$40.00,$40.00,$45.00,$40.00,$40.00,
May-98,$40.00,$40.00,$40.00,$40.00,$35.00,$40.00,$40.00,$45.00,$40.00,$40.00,
Apr-98,$40.00,$40.00,$40.00,$40.00,$35.00,$40.00,$40.00,$45.00,$40.00,$40.00,
Mar-98,$40.00,$40.00,$40.00,$40.00,$35.00,$40.00,$40.00,$45.00,$40.00,$40.00,
Feb-98,$35.56,$35.00,$35.00,$35.00,$30.00,$35.00,$35.00,$45.00,$35.00,$35.00,
Jan-98,$35.00,$35.00,$30.00,$30.00,$30.00,$35.00,$35.00,$50.00,$35.00,$35.00,
Dec-97,$35.00,$35.00,$30.00,$30.00,$30.00,$35.00,$35.00,$50.00,$35.00,$35.00,
Nov-97,$35.00,$35.00,$30.00,$30.00,$30.00,$35.00,$35.00,$50.00,$35.00,$35.00,
Oct-97,$34.44,$35.00,$30.00,$30.00,$30.00,$35.00,$35.00,$45.00,$35.00,$35.00,
Sep-97,$33.89,$35.00,$30.00,$30.00,$30.00,$35.00,$35.00,$40.00,$35.00,$35.00,
Aug-97,$33.33,$35.00,$30.00,$30.00,$30.00,$35.00,$35.00,$35.00,$35.00,$35.00,
Jul-97,$28.33,$30.00,$25.00,$25.00,$25.00,$30.00,$30.00,$30.00,$30.00,$30.00,
Jun-97,$23.33,$25.00,$20.00,$20.00,$20.00,$25.00,$25.00,$25.00,$25.00,$25.00,
May-97,$23.33,$25.00,$20.00,$20.00,$20.00,$25.00,$25.00,$25.00,$25.00,$25.00,
Apr-97,$23.33,$25.00,$20.00,$20.00,$20.00,$25.00,$25.00,$25.00,$25.00,$25.00,
Mar-97,$23.33,$25.00,$20.00,$20.00,$20.00,$25.00,$25.00,$25.00,$25.00,$25.00,
Feb-97,$23.33,$25.00,$20.00,$20.00,$20.00,$25.00,$25.00,$25.00,$25.00,$25.00,
Jan-97,$23.33,$25.00,$20.00,$20.00,$20.00,$25.00,$25.00,$25.00,$25.00,$25.00,
Dec-96,$23.75,$25.00, ,$20.00,$20.00,$25.00,$25.00,$25.00,$25.00,$25.00,
Nov-96,$23.75,$25.00,,$20.00,$20.00,$25.00,$25.00,$25.00,$25.00,$25.00,
Oct-96,$23.75,$25.00,,$20.00,$20.00,$25.00,$25.00,$25.00,$25.00,$25.00,
Sep-96,$23.75,$25.00,,$20.00,$20.00,$25.00,$25.00,$25.00,$25.00,$25.00,
Aug-96,$23.75,$25.00, ,$20.00,$20.00,$25.00,$25.00,$25.00,$25.00,$25.00,
Jul-96,$23.75,$25.00,,$20.00,$20.00,$25.00,$25.00,$25.00,$25.00,$25.00,
Jun-96,$23.75,$25.00, ,$20.00,$20.00,$25.00,$25.00,$25.00,$25.00,$25.00,
May-96,$23.75,$25.00,,$20.00,$20.00,$25.00,$25.00,$25.00,$25.00,$25.00,
Apr-96,$23.75,$25.00,,$20.00,$20.00,$25.00,$25.00,$25.00,$25.00,$25.00,
Mar-96,$23.75,$25.00,,$20.00,$20.00,$25.00,$25.00,$25.00,$25.00,$25.00,
Feb-96,$30.00,$30.00,,$30.00,$30.00,$30.00,$30.00,$30.00,$30.00,$30.00,
Jan-96,$30.00,$30.00,,$30.00,$30.00,$30.00,$30.00,$30.00,$30.00,$30.00,
Dec-95,$35.00,$35.00,,$35.00,$35.00,$35.00,$35.00,$35.00,$35.00,$35.00,
Nov-95,$40.00,$40.00,,$40.00,$40.00,$40.00,$40.00,$40.00,$40.00,$40.00,
Oct-95,$66.88,$70.00,,$60.00,$60.00,$60.00,$70.00,$70.00,$70.00,$75.00,
