DATE,Avg. Price,East,Midwest,Southeast,Southwest,Los Angeles,San Francisco,Pacific NW 
Dec-12,240.71,235.00,255.00,245.00,255.00,225.00,225.00,245.00
Nov-12,246.43,235.00,255.00,245.00,255.00,245.00,245.00,245.00
Oct-12,246.43,235.00,255.00,245.00,255.00,245.00,245.00,245.00
Sep-12,246.43,235.00,255.00,245.00,255.00,245.00,245.00,245.00
Aug-12,261.43,250.00,270.00,260.00,270.00,260.00,260.00,260.00
Jul-12,281.43,270.00,290.00,280.00,290.00,280.00,280.00,280.00
Jun-12,281.43,270.00,290.00,280.00,290.00,280.00,280.00,280.00
May-12,287.86,270.00,290.00,280.00,290.00,295.00,295.00,295.00
Apr-12,287.86,270.00,290.00,280.00,290.00,295.00,295.00,295.00
Mar-12,287.86,270.00,290.00,280.00,290.00,295.00,295.00,295.00
Feb-12,287.86,270.00,290.00,280.00,290.00,295.00,295.00,295.00
Jan-12,287.86,270.00,290.00,280.00,290.00,295.00,295.00,295.00
Dec-11,287.86,270.00,290.00,280.00,290.00,295.00,295.00,295.00
Nov-11,302.86,285.00,305.00,295.00,305.00,310.00,310.00,310.00
Oct-11,332.86,315.00,335.00,325.00,335.00,340.00,340.00,340.00
Sep-11,356.43,345.00,365.00,355.00,365.00,355.00,355.00,355.00
Aug-11,386.43,375.00,395.00,385.00,395.00,385.00,385.00,385.00
Jul-11,390.71,375.00,395.00,385.00,395.00,395.00,395.00,395.00
Jun-11,390.71,375.00,395.00,385.00,395.00,395.00,395.00,395.00
May-11,387.86,375.00,375.00,385.00,395.00,395.00,395.00,395.00
Apr-11,387.86,375.00,375.00,385.00,395.00,395.00,395.00,395.00
Mar-11,387.86,375.00,375.00,385.00,395.00,395.00,395.00,395.00
Feb-11,387.86,375.00,375.00,385.00,395.00,395.00,395.00,395.00
Jan-11,387.86,375.00,375.00,385.00,395.00,395.00,395.00,395.00
Dec-10,387.86,375.00,375.00,385.00,395.00,395.00,395.00,395.00
Nov-10,387.86,375.00,375.00,385.00,395.00,395.00,395.00,395.00
Oct-10,387.86,375.00,375.00,385.00,395.00,395.00,395.00,395.00
Sep-10,387.86,375.00,375.00,385.00,395.00,395.00,395.00,395.00
Aug-10,397.86,385.00,385.00,395.00,405.00,405.00,405.00,405.00
Jul-10,397.86,385.00,385.00,395.00,405.00,405.00,405.00,405.00
Jun-10,414.29,395.00,395.00,405.00,415.00,430.00,430.00,430.00
May-10,431.43,425.00,425.00,435.00,445.00,430.00,430.00,430.00
Apr-10,402.14,385.00,385.00,395.00,405.00,415.00,415.00,415.00
Mar-10,352.14,335.00,335.00,345.00,355.00,365.00,365.00,365.00
Feb-10,322.14,305.00,305.00,315.00,325.00,335.00,335.00,335.00
Jan-10,302.14,285.00,285.00,295.00,305.00,315.00,315.00,315.00
Dec-09,292.14,275.00,275.00,285.00,295.00,305.00,305.00,305.00
Nov-09,289.29,275.00,275.00,275.00,285.00,305.00,305.00,305.00
Oct-09,280.71,275.00,275.00,275.00,285.00,285.00,285.00,285.00
Sep-09,280.71,275.00,275.00,275.00,285.00,285.00,285.00,285.00
Aug-09,230.71,225.00,225.00,225.00,235.00,235.00,235.00,235.00
Jul-09,200.71,195.00,195.00,195.00,205.00,205.00,205.00,205.00
Jun-09,179.29,175.00,175.00,165.00,185.00,185.00,185.00,185.00
May-09,169.29,165.00,165.00,155.00,175.00,175.00,175.00,175.00
Apr-09,174.29,170.00,170.00,160.00,180.00,180.00,180.00,180.00
Mar-09,194.29,190.00,190.00,180.00,200.00,200.00,200.00,200.00
Feb-09,211.43,210.00,210.00,200.00,200.00,220.00,220.00,220.00
Jan-09,231.43,230.00,230.00,220.00,220.00,240.00,240.00,240.00
Dec-08,261.43,260.00,260.00,250.00,250.00,270.00,270.00,270.00
Nov-08,287.14,290.00,290.00,280.00,280.00,290.00,290.00,290.00
Oct-08,323.57,340.00,335.00,330.00,330.00,310.00,310.00,310.00
Sep-08,323.57,340.00,335.00,330.00,330.00,310.00,310.00,310.00
Aug-08,319.29,340.00,335.00,330.00,330.00,300.00,300.00,300.00
Jul-08,315.71,330.00,320.00,330.00,330.00,300.00,300.00,300.00
Jun-08,315.71,330.00,320.00,330.00,330.00,300.00,300.00,300.00
May-08,321.43,350.00,340.00,330.00,330.00,300.00,300.00,300.00
Apr-08,321.43,350.00,340.00,330.00,330.00,300.00,300.00,300.00
Mar-08,321.43,350.00,340.00,330.00,330.00,300.00,300.00,300.00
Feb-08,302.14,350.00,340.00,300.00,300.00,275.00,275.00,275.00
Jan-08,292.14,350.00,330.00,270.00,270.00,275.00,275.00,275.00
Dec-07,283.57,350.00,315.00,240.00,255.00,275.00,275.00,275.00
Nov-07,266.43,320.00,285.00,210.00,225.00,275.00,275.00,275.00
Oct-07,245.00,290.00,255.00,180.00,195.00,265.00,265.00,265.00
Sep-07,230.00,260.00,225.00,180.00,195.00,250.00,250.00,250.00
Aug-07,230.00,260.00,225.00,180.00,195.00,250.00,250.00,250.00
Jul-07,228.57,260.00,225.00,180.00,185.00,250.00,250.00,250.00
Jun-07,228.57,260.00,225.00,180.00,185.00,250.00,250.00,250.00
May-07,228.57,260.00,225.00,180.00,185.00,250.00,250.00,250.00
Apr-07,237.14,260.00,235.00,190.00,195.00,260.00,260.00,260.00
Mar-07,241.43,260.00,235.00,190.00,195.00,270.00,270.00,270.00
Feb-07,235.00,260.00,235.00,190.00,195.00,255.00,255.00,255.00
Jan-07,228.57,260.00,235.00,190.00,195.00,240.00,240.00,240.00
Dec-06,220.00,260.00,235.00,190.00,195.00,220.00,220.00,220.00
Nov-06,220.00,260.00,235.00,190.00,195.00,220.00,220.00,220.00
Oct-06,204.29,260.00,235.00,180.00,185.00,190.00,190.00,190.00
Sep-06,193.57,250.00,225.00,170.00,170.00,180.00,180.00,180.00
Aug-06,193.57,250.00,225.00,170.00,170.00,180.00,180.00,180.00
Jul-06,185.00,220.00,195.00,170.00,170.00,180.00,180.00,180.00
Jun-06,176.43,190.00,165.00,170.00,170.00,180.00,180.00,180.00
May-06,176.43,190.00,165.00,170.00,170.00,180.00,180.00,180.00
Apr-06,176.43,190.00,165.00,170.00,170.00,180.00,180.00,180.00
Mar-06,176.43,190.00,165.00,170.00,170.00,180.00,180.00,180.00
Feb-06,176.43,190.00,165.00,170.00,170.00,180.00,180.00,180.00
Jan-06,176.43,190.00,165.00,170.00,170.00,180.00,180.00,180.00
Dec-05,177.86,190.00,175.00,170.00,170.00,180.00,180.00,180.00
Nov-05,180.00,190.00,190.00,170.00,170.00,180.00,180.00,180.00
Oct-05,180.00,190.00,190.00,170.00,170.00,180.00,180.00,180.00
Sep-05,180.00,190.00,190.00,170.00,170.00,180.00,180.00,180.00
Aug-05,180.00,190.00,190.00,170.00,170.00,180.00,180.00,180.00
Jul-05,180.00,190.00,190.00,170.00,170.00,180.00,180.00,180.00
Jun-05,180.00,190.00,190.00,170.00,170.00,180.00,180.00,180.00
May-05,180.00,190.00,190.00,170.00,170.00,180.00,180.00,180.00
Apr-05,180.00,190.00,190.00,170.00,170.00,180.00,180.00,180.00
Mar-05,180.00,190.00,190.00,170.00,170.00,180.00,180.00,180.00
Feb-05,180.00,190.00,190.00,170.00,170.00,180.00,180.00,180.00
Jan-05,180.00,190.00,190.00,170.00,170.00,180.00,180.00,180.00
Dec-04,180.00,190.00,190.00,170.00,170.00,180.00,180.00,180.00
Nov-04,180.00,190.00,190.00,170.00,170.00,180.00,180.00,180.00
Oct-04,180.00,190.00,190.00,170.00,170.00,180.00,180.00,180.00
Sep-04,180.00,190.00,190.00,170.00,170.00,180.00,180.00,180.00
Aug-04,180.00,190.00,190.00,170.00,170.00,180.00,180.00,180.00
Jul-04,160.00,170.00,170.00,150.00,150.00,160.00,160.00,160.00
Jun-04,160.00,170.00,170.00,150.00,150.00,160.00,160.00,160.00
May-04,160.00,170.00,170.00,150.00,150.00,160.00,160.00,160.00
Apr-04,160.00,170.00,170.00,150.00,150.00,160.00,160.00,160.00
Mar-04,160.00,170.00,170.00,150.00,150.00,160.00,160.00,160.00
Feb-04,160.00,170.00,170.00,150.00,150.00,160.00,160.00,160.00
Jan-04,160.00,170.00,170.00,150.00,150.00,160.00,160.00,160.00
Dec-03,162.86,180.00,180.00,150.00,150.00,160.00,160.00,160.00
Nov-03,162.86,180.00,180.00,150.00,150.00,160.00,160.00,160.00
Oct-03,162.86,180.00,180.00,150.00,150.00,160.00,160.00,160.00
Sep-03,162.86,180.00,180.00,150.00,150.00,160.00,160.00,160.00
Aug-03,161.43,180.00,170.00,150.00,150.00,160.00,160.00,160.00
Jul-03,161.43,180.00,170.00,150.00,150.00,160.00,160.00,160.00
Jun-03,171.43,190.00,180.00,160.00,160.00,170.00,170.00,170.00
May-03,172.86,200.00,180.00,160.00,160.00,170.00,170.00,170.00
Apr-03,172.86,200.00,180.00,160.00,160.00,170.00,170.00,170.00
Mar-03,152.86,180.00,160.00,140.00,140.00,150.00,150.00,150.00
Feb-03,142.86,170.00,150.00,130.00,130.00,140.00,140.00,140.00
Jan-03,140.00,150.00,150.00,130.00,130.00,140.00,140.00,140.00
Dec-02,140.00,150.00,150.00,130.00,130.00,140.00,140.00,140.00
Nov-02,140.00,150.00,150.00,130.00,130.00,140.00,140.00,140.00
Oct-02,138.57,165.00,165.00,110.00,110.00,140.00,140.00,140.00
Sep-02,138.57,165.00,165.00,110.00,110.00,140.00,140.00,140.00
Aug-02,130.00,155.00,155.00,90.00,90.00,140.00,140.00,140.00
Jul-02,130.00,155.00,155.00,90.00,90.00,140.00,140.00,140.00
Jun-02,135.71,175.00,175.00,90.00,90.00,140.00,140.00,140.00
May-02,132.86,165.00,165.00,90.00,90.00,140.00,140.00,140.00
Apr-02,125.71,140.00,140.00,90.00,90.00,140.00,140.00,140.00
Mar-02,125.71,140.00,140.00,90.00,90.00,140.00,140.00,140.00
Feb-02,125.71,140.00,140.00,90.00,90.00,140.00,140.00,140.00
Jan-02,127.14,150.00,140.00,90.00,90.00,140.00,140.00,140.00
Dec-01,127.14,150.00,140.00,90.00,90.00,140.00,140.00,140.00
Nov-01,127.14,150.00,140.00,90.00,90.00,140.00,140.00,140.00
Oct-01,127.14,150.00,140.00,90.00,90.00,140.00,140.00,140.00
Sep-01,127.14,150.00,140.00,90.00,90.00,140.00,140.00,140.00
Aug-01,127.14,150.00,140.00,90.00,90.00,140.00,140.00,140.00
Jul-01,127.14,150.00,140.00,90.00,90.00,140.00,140.00,140.00
Jun-01,127.14,150.00,140.00,90.00,90.00,140.00,140.00,140.00
May-01,127.14,150.00,140.00,90.00,90.00,140.00,140.00,140.00
Apr-01,137.14,160.00,150.00,100.00,100.00,150.00,150.00,150.00
Mar-01,147.14,170.00,160.00,110.00,110.00,160.00,160.00,160.00
Feb-01,157.14,180.00,170.00,120.00,120.00,170.00,170.00,170.00
Jan-01,197.14,220.00,210.00,160.00,160.00,210.00,210.00,210.00
Dec-00,197.14,220.00,210.00,160.00,160.00,210.00,210.00,210.00
Nov-00,200.00,240.00,210.00,160.00,160.00,210.00,210.00,210.00
Oct-00,200.00,240.00,210.00,160.00,160.00,210.00,210.00,210.00
Sep-00,200.00,240.00,210.00,160.00,160.00,210.00,210.00,210.00
Aug-00,200.00,240.00,210.00,160.00,160.00,210.00,210.00,210.00
Jul-00,202.86,240.00,230.00,160.00,160.00,210.00,210.00,210.00
Jun-00,202.86,240.00,230.00,160.00,160.00,210.00,210.00,210.00
May-00,202.86,240.00,230.00,160.00,160.00,210.00,210.00,210.00
Apr-00,202.86,240.00,230.00,160.00,160.00,210.00,210.00,210.00
Mar-00,202.86,240.00,230.00,160.00,160.00,210.00,210.00,210.00
Feb-00,201.43,230.00,230.00,160.00,160.00,210.00,210.00,210.00
Jan-00,170.00,200.00,190.00,130.00,130.00,180.00,180.00,180.00
Dec-99,167.14,190.00,180.00,130.00,130.00,180.00,180.00,180.00
Nov-99,157.14,180.00,170.00,120.00,120.00,170.00,170.00,170.00
Oct-99,155.71,170.00,170.00,120.00,120.00,170.00,170.00,170.00
Sep-99,144.29,160.00,150.00,110.00,110.00,160.00,160.00,160.00
Aug-99,140.00,150.00,130.00,110.00,110.00,160.00,160.00,160.00
Jul-99,137.14,130.00,130.00,110.00,110.00,160.00,160.00,160.00
Jun-99,117.14,110.00,110.00,90.00,90.00,140.00,140.00,140.00
May-99,105.71,100.00,100.00,90.00,90.00,120.00,120.00,120.00
Apr-99,104.29,90.00,100.00,90.00,90.00,120.00,120.00,120.00
Mar-99,104.29,90.00,100.00,90.00,90.00,120.00,120.00,120.00
Feb-99,104.29,90.00,100.00,90.00,90.00,120.00,120.00,120.00
Jan-99,104.29,90.00,100.00,90.00,90.00,120.00,120.00,120.00
Dec-98,104.29,90.00,100.00,90.00,90.00,120.00,120.00,120.00
Nov-98,107.14,110.00,100.00,90.00,90.00,120.00,120.00,120.00
Oct-98,107.14,110.00,100.00,90.00,90.00,120.00,120.00,120.00
Sep-98,127.14,130.00,120.00,110.00,110.00,140.00,140.00,140.00
Aug-98,127.14,130.00,120.00,110.00,110.00,140.00,140.00,140.00
Jul-98,137.14,140.00,130.00,120.00,120.00,150.00,150.00,150.00
Jun-98,137.14,140.00,130.00,120.00,120.00,150.00,150.00,150.00
May-98,137.14,140.00,130.00,120.00,120.00,150.00,150.00,150.00
Apr-98,147.14,150.00,140.00,130.00,130.00,160.00,160.00,160.00
Mar-98,147.14,150.00,140.00,130.00,130.00,160.00,160.00,160.00
Feb-98,147.14,150.00,140.00,130.00,130.00,160.00,160.00,160.00
Jan-98,138.57,150.00,140.00,130.00,130.00,140.00,140.00,140.00
Dec-97,138.57,150.00,140.00,130.00,130.00,140.00,140.00,140.00
Nov-97,138.57,150.00,140.00,130.00,130.00,140.00,140.00,140.00
Oct-97,138.57,150.00,140.00,130.00,130.00,140.00,140.00,140.00
Sep-97,128.57,140.00,130.00,120.00,120.00,130.00,130.00,130.00
Aug-97,127.14,130.00,130.00,120.00,120.00,130.00,130.00,130.00
Jul-97,127.14,130.00,130.00,120.00,120.00,130.00,130.00,130.00
Jun-97,127.14,130.00,130.00,120.00,120.00,130.00,130.00,130.00
May-97,127.14,130.00,130.00,120.00,120.00,130.00,130.00,130.00
Apr-97,127.14,130.00,130.00,120.00,120.00,130.00,130.00,130.00
Mar-97,137.14,140.00,140.00,130.00,130.00,140.00,140.00,140.00
Feb-97,137.14,140.00,140.00,130.00,130.00,140.00,140.00,140.00
Jan-97,137.14,140.00,140.00,130.00,130.00,140.00,140.00,140.00
Dec-96,137.14,140.00,140.00,130.00,130.00,140.00,140.00,140.00
Nov-96,137.14,140.00,140.00,130.00,130.00,140.00,140.00,140.00
Oct-96,137.14,140.00,140.00,130.00,130.00,140.00,140.00,140.00
Sep-96,137.14,140.00,140.00,130.00,130.00,140.00,140.00,140.00
Aug-96,137.14,140.00,140.00,130.00,130.00,140.00,140.00,140.00
Jul-96,137.14,140.00,140.00,130.00,130.00,140.00,140.00,140.00
Jun-96,107.14,110.00,110.00,100.00,100.00,110.00,110.00,110.00
May-96,107.14,110.00,110.00,100.00,100.00,110.00,110.00,110.00
Apr-96,140.00,140.00,140.00,140.00,140.00,140.00,140.00,140.00
Mar-96,160.00,160.00,160.00,160.00,160.00,160.00,160.00,160.00
Feb-96,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00
Jan-96,190.00,190.00,190.00,190.00,190.00,190.00,190.00,190.00
Dec-95,190.00,190.00,190.00,190.00,190.00,190.00,190.00,190.00
Nov-95,262.86,290.00,290.00,230.00,250.00,260.00,260.00,260.00
Oct-95,300.71,310.00,310.00,260.00,280.00,315.00,315.00,315.00