"OCC HISTORICAL PRICES",,,,,,,,,,,,,
,,,,,,,,,,,,,
,"DATE",,"Avg. Price","Chicago","New England","Buffalo","New York","Southeast","Southwest","Los Angeles","San Francisco","Pacific NW",
,,,,,,,,,,,,,
,Nov-14,,,,,,,,,,,,
,Oct-14,,$92.22,$75.00,$95.00,$95.00,$95.00,$95.00,$85.00,$110.00,$100.00,$80.00,
,Sep-14,,$93.33,$75.00,$95.00,$95.00,$95.00,$95.00,$85.00,$115.00,$105.00,$80.00,
,Aug-14,,$99.44,$80.00,$100.00,$100.00,$100.00,$100.00,$90.00,$125.00,$115.00,$85.00,
,Jul-14,,$101.67,$80.00,$105.00,$105.00,$105.00,$105.00,$90.00,$125.00,$115.00,$85.00,
,Jun-14,,$101.67,$80.00,$105.00,$105.00,$105.00,$105.00,$90.00,$125.00,$115.00,$85.00,
,May-14,,$105.00,$85.00,$110.00,$110.00,$110.00,$105.00,$95.00,$125.00,$115.00,$90.00,
,Apr-14,,$106.67,$90.00,$110.00,$110.00,$110.00,$110.00,$100.00,$125.00,$115.00,$90.00,
,Mar-14,,$119.44,$100.00,$125.00,$125.00,$125.00,$125.00,$110.00,$135.00,$125.00,$105.00,
,Feb-14,,$108.89,$90.00,$110.00,$110.00,$110.00,$100.00,$100.00,$135.00,$125.00,$100.00,
,Jan-14,,$107.22,$90.00,$110.00,$110.00,$110.00,$100.00,$100.00,$130.00,$120.00,$95.00,
,Dec-13,,$107.78,$90.00,$110.00,$110.00,$110.00,$105.00,$100.00,$130.00,$120.00,$95.00,
,Nov-13,,$118.33,$95.00,$120.00,$120.00,$120.00,$120.00,$110.00,$140.00,$130.00,$110.00,
,Oct-13,,$120.56,$100.00,$120.00,$120.00,$120.00,$125.00,$115.00,$140.00,$130.00,$115.00,
,Sep-13,,$120.56,$100.00,$120.00,$120.00,$120.00,$125.00,$115.00,$140.00,$130.00,$115.00," "
,Aug-13,,$119.44,$100.00,$115.00,$115.00,$115.00,$130.00,$115.00,$140.00,$130.00,$115.00,
,Jul-13,,$115.00,$95.00,$110.00,$110.00,$110.00,$130.00,$115.00,$135.00,$125.00,$105.00,
,Jun-13,,$110.00,$90.00,$110.00,$110.00,$110.00,$120.00,$105.00,$130.00,$120.00,$95.00,
,May-13,,$109.44,$90.00,$110.00,$110.00,$110.00,$115.00,$105.00,$130.00,$120.00,$95.00,
,Apr-13,,$116.67,$100.00,$115.00,$115.00,$115.00,$120.00,$110.00,$140.00,$130.00,$105.00,
,Mar-13,,$116.67,$100.00,$115.00,$115.00,$115.00,$120.00,$110.00,$140.00,$130.00,$105.00,
,Feb-13,,$107.78,$85.00,$105.00,$105.00,$105.00,$110.00,$105.00,$130.00,$120.00,$105.00,
,Jan-13,,$106.11,$80.00,$105.00,$105.00,$105.00,$110.00,$105.00,$125.00,$115.00,$105.00,
,Dec-12,,$106.67,$80.00,$105.00,$105.00,$105.00,$110.00,$100.00,$125.00,$115.00,$115.00,
,Nov-12,,$102.78,$75.00,$100.00,$100.00,$100.00,$95.00,$80.00,$135.00,$125.00,$115.00,
,Oct-12,,$88.33,$65.00,$90.00,$90.00,$90.00,$80.00,$65.00,$120.00,$110.00,$85.00,
,Sep-12,,$83.33,$65.00,$90.00,$90.00,$90.00,$75.00,$60.00,$105.00,$95.00,$80.00,
,Aug-12,,$101.11,$80.00,$110.00,$110.00,$110.00,$90.00,$75.00,$120.00,$110.00,$105.00,
,Jul-12,,$115.00,$95.00,$125.00,$125.00,$125.00,$110.00,$95.00,$130.00,$120.00,$110.00,
,Jun-12,,$121.11,$100.00,$130.00,$130.00,$130.00,$125.00,$105.00,$135.00,$125.00,$110.00,
,May-12,,$128.33,$105.00,$130.00,$130.00,$130.00,$125.00,$120.00,$150.00,$140.00,$125.00,
,Apr-12,,$138.89,$115.00,$140.00,$140.00,$145.00,$135.00,$130.00,$160.00,$150.00,$135.00,
,Mar-12,,$137.78,$115.00,$140.00,$140.00,$145.00,$135.00,$130.00,$160.00,$150.00,$125.00,
,Feb-12,,$132.22,$105.00,$140.00,$140.00,$145.00,$110.00,$125.00,$160.00,$150.00,$115.00,
,Jan-12,,$122.78,$95.00,$125.00,$125.00,$130.00,$110.00,$115.00,$150.00,$140.00,$115.00,
,Dec-11,,$117.78,$95.00,$125.00,$125.00,$125.00,$110.00,$100.00,$140.00,$130.00,$110.00,
,Nov-11,,$123.89,$110.00,$130.00,$130.00,$130.00,$110.00,$110.00,$145.00,$135.00,$115.00,
,Oct-11,,$163.89,$150.00,$165.00,$165.00,$165.00,$160.00,$155.00,$185.00,$175.00,$155.00,
,Sep-11,,$168.33,$160.00,$165.00,$165.00,$165.00,$175.00,$165.00,$185.00,$175.00,$160.00,
,Aug-11,,$169.44,$165.00,$165.00,$165.00,$165.00,$175.00,$170.00,$185.00,$175.00,$160.00,
,Jul-11,,$168.33,$155.00,$165.00,$165.00,$165.00,$170.00,$165.00,$185.00,$175.00,$170.00,
,Jun-11,,$157.78,$140.00,$160.00,$160.00,$160.00,$150.00,$145.00,$185.00,$175.00,$145.00,
,May-11,,$152.78,$140.00,$160.00,$160.00,$160.00,$140.00,$130.00,$175.00,$165.00,$145.00,
,Apr-11,,$152.22,$135.00,$160.00,$160.00,$160.00,$140.00,$130.00,$175.00,$165.00,$145.00,
,Mar-11,,$155.00,$135.00,$165.00,$165.00,$165.00,$140.00,$140.00,$175.00,$165.00,$145.00,
,Feb-11,,$155.00,$135.00,$165.00,$165.00,$165.00,$140.00,$140.00,$175.00,$165.00,$145.00,
,Jan-11,,$157.78,$135.00,$165.00,$165.00,$165.00,$150.00,$155.00,$175.00,$165.00,$145.00,
,Dec-10,,$160.56,$135.00,$170.00,$170.00,$170.00,$160.00,$155.00,$175.00,$165.00,$145.00,
,Nov-10,,$156.11,$135.00,$165.00,$140.00,$165.00,$160.00,$155.00,$175.00,$165.00,$145.00,
,Oct-10,,$136.11,$125.00,$130.00,$130.00,$130.00,$145.00,$125.00,$155.00,$145.00,$140.00,
,Sep-10,,$121.11,$105.00,$120.00,$120.00,$120.00,$130.00,$125.00,$135.00,$125.00,$110.00,
,Aug-10,,$111.67,$105.00,$110.00,$110.00,$110.00,$120.00,$125.00,$115.00,$105.00,$105.00,
,Jul-10,,$112.22,$110.00,$110.00,$110.00,$110.00,$120.00,$125.00,$115.00,$105.00,$105.00,
,Jun-10,,$117.22,$115.00,$120.00,$120.00,$120.00,$125.00,$130.00,$115.00,$105.00,$105.00,
,May-10,,$127.22,$125.00,$130.00,$130.00,$130.00,$130.00,$135.00,$135.00,$125.00,$105.00,
,Apr-10,,$135.00,$135.00,$140.00,$140.00,$140.00,$145.00,$150.00,$135.00,$125.00,$105.00,
,Mar-10,,$161.67,$165.00,$170.00,$170.00,$170.00,$175.00,$180.00,$165.00,$155.00,$105.00,
,Feb-10,,$127.22,$130.00,$135.00,$135.00,$135.00,$140.00,$145.00,$125.00,$115.00,$85.00,
,Jan-10,,$107.22,$100.00,$105.00,$105.00,$105.00,$110.00,$115.00,$125.00,$115.00,$85.00,
,Dec-09,,$81.67,$70.00,$75.00,$75.00,$75.00,$80.00,$85.00,$105.00,$90.00,$80.00,
,Nov-09,,$76.67,$60.00,$75.00,$75.00,$75.00,$70.00,$75.00,$105.00,$100.00,$55.00,
,Oct-09,,$75.56,$60.00,$75.00,$75.00,$75.00,$70.00,$75.00,$100.00,$95.00,$55.00,
,Sep-09,,$80.00,$70.00,$80.00,$80.00,$80.00,$80.00,$80.00,$100.00,$95.00,$55.00,
,Aug-09,,$75.00,$70.00,$65.00,$65.00,$65.00,$80.00,$80.00,$95.00,$90.00,$65.00,
,Jul-09,,$67.78,$55.00,$65.00,$65.00,$65.00,$75.00,$75.00,$80.00,$75.00,$55.00,
,Jun-09,,$60.00,$45.00,$60.00,$60.00,$60.00,$60.00,$55.00,$80.00,$75.00,$45.00,
,May-09,,$45.00,$35.00,$45.00,$45.00,$45.00,$45.00,$40.00,$60.00,$55.00,$35.00,
,"Apr-09",,$42.22,$35.00,$40.00,$40.00,$40.00,$45.00,$40.00,$55.00,$50.00,$35.00,
,"Mar-09",,$40.56,$40.00,$35.00,$35.00,$35.00,$45.00,$45.00,$50.00,$45.00,$35.00,
,"Feb-09",,$35.00,$30.00,$30.00,$30.00,$30.00,$25.00,$30.00,$50.00,$45.00,$45.00,
,"Jan-09",,$27.78,$20.00,$25.00,$25.00,$25.00,$20.00,$25.00,$40.00,$35.00,$35.00," "
,Dec-08,,$29.44,$25.00,$25.00,$25.00,$25.00,$25.00,$25.00,$40.00,$40.00,$35.00," "
,Nov-08,,$43.89,$45.00,$45.00,$45.00,$35.00,$45.00,$45.00,$45.00,$45.00,$45.00," "
,Oct-08,,$90.00,$75.00,$85.00,$80.00,$85.00,$95.00,$90.00,$115.00,$100.00,$85.00," "
,Sep-08,,$109.44,$85.00,$115.00,$110.00,$115.00,$110.00,$105.00,$130.00,$115.00,$100.00," "
,Aug-08,,$111.67,$85.00,$115.00,$110.00,$115.00,$110.00,$105.00,$135.00,$120.00,$110.00," "
,Jul-08,,$113.89,$90.00,$115.00,$110.00,$115.00,$110.00,$110.00,$140.00,$125.00,$110.00," "
,Jun-08,,$114.44,$100.00,$115.00,$110.00,$115.00,$110.00,$110.00,$140.00,$125.00,$105.00," "
,May-08,,$126.67,$110.00,$125.00,$125.00,$125.00,$120.00,$120.00,$150.00,$150.00,$115.00," "
,Apr-08,,$136.67,$120.00,$135.00,$135.00,$140.00,$125.00,$125.00,$160.00,$160.00,$130.00," "
,Mar-08,,$140.56,$120.00,$140.00,$140.00,$145.00,$125.00,$125.00,$170.00,$170.00,$130.00," "
,Feb-08,,$129.44,$110.00,$120.00,$120.00,$125.00,$115.00,$125.00,$160.00,$160.00,$130.00," "
,"Jan-08",,$123.33,$110.00,$120.00,$120.00,$125.00,$115.00,$100.00,$145.00,$145.00,$130.00," "
,Dec-07,,$123.89,$110.00,$120.00,$120.00,$120.00,$115.00,$100.00,$145.00,$145.00,$140.00," "
,Nov-07,,$128.89,$110.00,$120.00,$120.00,$120.00,$125.00,$110.00,$150.00,$150.00,$155.00," "
,Oct-07,,$131.11,$115.00,$120.00,$120.00,$120.00,$135.00,$115.00,$150.00,$150.00,$155.00," "
,Sep-07,,$124.44,$115.00,$120.00,$120.00,$120.00,$135.00,$115.00,$130.00,$130.00,$135.00," "
,Aug-07,,$121.11,$115.00,$115.00,$115.00,$115.00,$135.00,$115.00,$125.00,$125.00,$130.00," "
,Jul-07,,$121.67,$115.00,$110.00,$110.00,$110.00,$125.00,$115.00,$135.00,$135.00,$140.00," "
,Jun-07,,$100.00,$100.00,$100.00,$100.00,$100.00,$105.00,$90.00,$100.00,$100.00,$105.00," "
,May-07,,$100.00,$100.00,$100.00,$100.00,$100.00,$105.00,$90.00,$100.00,$100.00,$105.00," "
,Apr-07,,$118.33,$110.00,$120.00,$120.00,$120.00,$120.00,$110.00,$120.00,$120.00,$125.00," "
,Mar-07,,$140.00,$120.00,$150.00,$150.00,$150.00,$145.00,$120.00,$140.00,$140.00,$145.00," "
,Feb-07,,$100.00,$90.00,$90.00,$90.00,$95.00,$95.00,$90.00,$115.00,$115.00,$120.00," "
,Jan-07,,$79.44,$70.00,$70.00,$65.00,$75.00,$70.00,$60.00,$100.00,$100.00,$105.00," "
,Dec-06,,$73.33,$60.00,$65.00,$65.00,$70.00,$65.00,$60.00,$90.00,$90.00,$95.00," "
,Nov-06,,$70.00,$60.00,$65.00,$65.00,$70.00,$65.00,$60.00,$80.00,$80.00,$85.00," "
,Oct-06,,$73.89,$65.00,$70.00,$70.00,$70.00,$75.00,$70.00,$80.00,$80.00,$85.00," "
,Sep-06,,$81.11,$75.00,$75.00,$75.00,$75.00,$85.00,$85.00,$85.00,$85.00,$90.00," "
,Aug-06,,$87.22,$85.00,$80.00,$80.00,$80.00,$90.00,$95.00,$90.00,$90.00,$95.00," "
,Jul-06,,$88.89,$85.00,$80.00,$80.00,$80.00,$100.00,$100.00,$90.00,$90.00,$95.00," "
,Jun-06,,$75.00,$75.00,$70.00,$65.00,$70.00,$85.00,$80.00,$75.00,$75.00,$80.00," "
,May-06,,$70.56,$70.00,$70.00,$65.00,$70.00,$75.00,$65.00,$75.00,$75.00,$70.00," "
,Apr-06,,$65.00,$65.00,$70.00,$65.00,$70.00,$65.00,$50.00,$70.00,$70.00,$60.00," "
,Mar-06,,$59.44,$55.00,$60.00,$60.00,$65.00,$55.00,$50.00,$65.00,$65.00,$60.00," "
,Feb-06,,$57.22,$45.00,$60.00,$55.00,$65.00,$50.00,$50.00,$65.00,$65.00,$60.00," "
,Jan-06,,$57.78,$45.00,$60.00,$55.00,$65.00,$55.00,$50.00,$65.00,$65.00,$60.00," "
,Dec-05,,$58.89,$45.00,$60.00,$55.00,$65.00,$60.00,$55.00,$65.00,$65.00,$60.00," "
,Nov-05,,$62.78,$50.00,$65.00,$60.00,$65.00,$60.00,$60.00,$70.00,$70.00,$65.00," "
,Oct-05,,$69.44,$60.00,$70.00,$65.00,$70.00,$75.00,$65.00,$75.00,$75.00,$70.00," "
,Sep-05,,$74.44,$70.00,$75.00,$70.00,$75.00,$90.00,$70.00,$75.00,$75.00,$70.00," "
,Aug-05,,$78.33,$80.00,$75.00,$75.00,$75.00,$90.00,$75.00,$80.00,$80.00,$75.00," "
,Jul-05,,$81.67,$80.00,$75.00,$75.00,$75.00,$90.00,$75.00,$90.00,$90.00,$85.00," "
,Jun-05,,$80.56,$80.00,$75.00,$75.00,$75.00,$80.00,$75.00,$90.00,$90.00,$85.00," "
,May-05,,$82.22,$80.00,$75.00,$75.00,$75.00,$80.00,$75.00,$95.00,$95.00,$90.00," "
,Apr-05,,$85.00,$80.00,$85.00,$85.00,$85.00,$75.00,$75.00,$95.00,$95.00,$90.00," "
,Mar-05,,$87.22,$80.00,$90.00,$90.00,$90.00,$75.00,$80.00,$95.00,$95.00,$90.00," "
,Feb-05,,$91.67,$80.00,$100.00,$100.00,$100.00,$85.00,$80.00,$95.00,$95.00,$90.00," "
,"Jan-05",,$83.33,$80.00,$80.00,$75.00,$80.00,$85.00,$85.00,$90.00,$90.00,$85.00," "
,Dec-04,,$83.33,$80.00,$80.00,$75.00,$80.00,$85.00,$85.00,$90.00,$90.00,$85.00," "
,Nov-04,,$83.33,$80.00,$80.00,$75.00,$80.00,$85.00,$85.00,$90.00,$90.00,$85.00," "
,Oct-04,,$82.78,$80.00,$80.00,$75.00,$80.00,$85.00,$85.00,$90.00,$90.00,$80.00," "
,Sep-04,,$82.78,$80.00,$80.00,$75.00,$80.00,$85.00,$85.00,$90.00,$90.00,$80.00," "
,Aug-04,,$85.56,$85.00,$80.00,$80.00,$85.00,$85.00,$85.00,$90.00,$90.00,$90.00," "
,Jul-04,,$90.56,$90.00,$85.00,$85.00,$90.00,$90.00,$90.00,$95.00,$95.00,$95.00," "
,Jun-04,,$90.56,$90.00,$85.00,$85.00,$90.00,$90.00,$90.00,$95.00,$95.00,$95.00,
,May-04,,$92.78,$90.00,$95.00,$90.00,$95.00,$90.00,$90.00,$95.00,$95.00,$95.00,
,Apr-04,,$90.00,$90.00,$95.00,$95.00,$95.00,$90.00,$90.00,$85.00,$85.00,$85.00,
,Mar-04,,$88.89,$85.00,$95.00,$95.00,$95.00,$90.00,$85.00,$85.00,$85.00,$85.00,
,Feb-04,,$80.56,$75.00,$80.00,$80.00,$80.00,$80.00,$75.00,$85.00,$85.00,$85.00,
,Jan-04,,$63.33,$65.00,$60.00,$55.00,$60.00,$65.00,$65.00,$65.00,$65.00,$70.00,
,Dec-03,,$63.33,$65.00,$60.00,$55.00,$60.00,$65.00,$65.00,$65.00,$65.00,$70.00,
,Nov-03,,$65.00,$65.00,$60.00,$55.00,$60.00,$65.00,$65.00,$70.00,$70.00,$75.00,
,Oct-03,,$63.89,$65.00,$60.00,$55.00,$60.00,$65.00,$65.00,$70.00,$70.00,$65.00,
,Sep-03,"200309",$64.44,$65.00,$60.00,$60.00,$60.00,$65.00,$65.00,$70.00,$70.00,$65.00,
,Aug-03,"200308",$64.44,$65.00,$60.00,$60.00,$60.00,$65.00,$65.00,$70.00,$70.00,$65.00,
