"SOP HISTORICAL PRICES",,,,,,,,,,,,,,
,Sep-04,,$157.22,$145.00,$155.00,$155.00,$155.00,$155.00,$155.00,$165.00,$165.00,$165.00," ",
,Aug-04,,$148.33,$145.00,$145.00,$145.00,$145.00,$145.00,$145.00,$155.00,$155.00,$155.00," ",
,Jul-04,,$138.33,$135.00,$135.00,$135.00,$135.00,$135.00,$135.00,$145.00,$145.00,$145.00," ",
,Jun-04,,$128.33,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$135.00,$135.00,$135.00," ",
,May-04,,$117.78,$110.00,$115.00,$115.00,$115.00,$115.00,$115.00,$125.00,$125.00,$125.00," ",
,Apr-04,,$117.78,$110.00,$115.00,$115.00,$115.00,$115.00,$115.00,$125.00,$125.00,$125.00,,
,Mar-04,,$116.11,$110.00,$110.00,$110.00,$110.00,$115.00,$115.00,$125.00,$125.00,$125.00,,
,Feb-04,,$120.56,$120.00,$120.00,$120.00,$120.00,$115.00,$115.00,$125.00,$125.00,$125.00,,
,Jan-04,,$105.56,$105.00,$105.00,$105.00,$105.00,$100.00,$100.00,$110.00,$110.00,$110.00,,
,Dec-03,,$100.56,$100.00,$100.00,$100.00,$100.00,$95.00,$95.00,$105.00,$105.00,$105.00,,
,Nov-03,"200311",$100.56,$100.00,$100.00,$100.00,$100.00,$95.00,$95.00,$105.00,$105.00,$105.00,,
,Oct-03,"200310",$100.56,$100.00,$100.00,$100.00,$100.00,$95.00,$95.00,$105.00,$105.00,$105.00,,
,Sep-03,"200309",$101.11,"$100.00 ","$100.00 ","$100.00 ","$100.00 ","$100.00 ","$95.00 ","$105.00 ","$105.00 ","$105.00 ",,
,Aug-03,"200308",$100.56,"$100.00 ","$100.00 ","$100.00 ","$100.00 ","$95.00 ","$95.00 ","$105.00 ","$105.00 ","$105.00 ",,
,Jul-03,"200307",$105.56,"$105.00 ","$105.00 ","$105.00 ","$105.00 ","$100.00 ","$100.00 ","$110.00 ","$110.00 ","$110.00 ",,
" ",Jun-03,"200306",$115.56,"$115.00 ","$115.00 ","$115.00 ","$115.00 ","$110.00 ","$110.00 ","$120.00 ","$120.00 ","$120.00 ",,
,May-03,"200305",$115.56,"$115.00 ","$115.00 ","$115.00 ","$115.00 ","$110.00 ","$110.00 ","$120.00 ","$120.00 ","$120.00 ",,
,Apr-03,"200304",$117.22,"$115.00 ","$120.00 ","$120.00 ","$120.00 ","$110.00 ","$110.00 ","$120.00 ","$120.00 ","$120.00 ",,
,Mar-03,"200303",$133.89,"$135.00 ","$135.00 ","$135.00 ","$135.00 ","$130.00 ","$130.00 ","$135.00 ","$135.00 ","$135.00 ",,
,Feb-03,"200302",$139.44,"$140.00 ","$140.00 ","$140.00 ","$140.00 ","$140.00 ","$135.00 ","$140.00 ","$140.00 ","$140.00 ",,
,Jan-03,"200301",$138.89,"$135.00 ","$140.00 ","$140.00 ","$140.00 ","$140.00 ","$135.00 ","$140.00 ","$140.00 ","$140.00 ",,
,Dec-02,"200212",$137.22,"$135.00 ","$140.00 ","$140.00 ","$140.00 ","$140.00 ","$135.00 ","$135.00 ","$135.00 ","$135.00 ",,
,Nov-02,"200211",$132.22,"$130.00 ","$135.00 ","$135.00 ","$135.00 ","$135.00 ","$130.00 ","$130.00 ","$130.00 ","$130.00 ",,
,Oct-02,"200210",$129.44,"$125.00 ","$130.00 ","$130.00 ","$130.00 ","$130.00 ","$130.00 ","$130.00 ","$130.00 ","$130.00 ",,
,Sep-02,"200209",$122.78,"$120.00 ","$125.00 ","$125.00 ","$125.00 ","$130.00 ","$120.00 ","$120.00 ","$120.00 ","$120.00 ",,
,Aug-02,"200208",$114.44,"$110.00 ","$120.00 ","$120.00 ","$120.00 ","$120.00 ","$110.00 ","$110.00 ","$110.00 ","$110.00 ",,
,Jul-02,"200207",$111.11,"$110.00 ","$115.00 ","$110.00 ","$115.00 ","$110.00 ","$110.00 ","$110.00 ","$110.00 ","$110.00 ",,
,Jun-02,"200206",$93.89,"$85.00 ","$95.00 ","$95.00 ","$95.00 ","$95.00 ","$95.00 ","$95.00 ","$95.00 ","$95.00 ",,
,May-02,"200205",$87.78,"$85.00 ","$90.00 ","$90.00 ","$90.00 ","$75.00 ","$75.00 ","$95.00 ","$95.00 ","$95.00 ",,
,Apr-02,"200204",$84.44,"$85.00 ","$90.00 ","$90.00 ","$90.00 ","$75.00 ","$75.00 ","$85.00 ","$85.00 ","$85.00 ",,
,Mar-02,"200203",$82.78,"$85.00 ","$85.00 ","$85.00 ","$85.00 ","$75.00 ","$75.00 ","$85.00 ","$85.00 ","$85.00 ",,
,Feb-02,"200202",$82.78,"$85.00 ","$85.00 ","$85.00 ","$85.00 ","$75.00 ","$75.00 ","$85.00 ","$85.00 ","$85.00 ",,
,Jan-02,"200201",$82.78,"$85.00 ","$85.00 ","$85.00 ","$85.00 ","$75.00 ","$75.00 ","$85.00 ","$85.00 ","$85.00 ",,
,Dec-01,"200112",$82.78,"$85.00 ","$85.00 ","$85.00 ","$85.00 ","$75.00 ","$75.00 ","$85.00 ","$85.00 ","$85.00 ",,
,Nov-01,"200111",$82.78,"$85.00 ","$85.00 ","$85.00 ","$85.00 ","$75.00 ","$75.00 ","$85.00 ","$85.00 ","$85.00 ",,
,Oct-01,"200110",$82.78,"$85.00 ","$85.00 ","$85.00 ","$85.00 ","$75.00 ","$75.00 ","$85.00 ","$85.00 ","$85.00 ",,
,Sep-01,"200109",$81.11,"$85.00 ","$80.00 ","$80.00 ","$80.00 ","$75.00 ","$75.00 ","$85.00 ","$85.00 ","$85.00 ",,
,Aug-01,"200108",$79.44,"$80.00 ","$80.00 ","$75.00 ","$75.00 ","$75.00 ","$75.00 ","$85.00 ","$85.00 ","$85.00 ",,
,Jul-01,"200107",$76.11,"$75.00 ","$75.00 ","$70.00 ","$70.00 ","$65.00 ","$75.00 ","$85.00 ","$85.00 ","$85.00 ",,
,Jun-01,"200106",$76.11,"$75.00 ","$75.00 ","$70.00 ","$70.00 ","$65.00 ","$75.00 ","$85.00 ","$85.00 ","$85.00 ",,
,May-01,"200105",$77.22,"$75.00 ","$75.00 ","$75.00 ","$75.00 ","$65.00 ","$75.00 ","$85.00 ","$85.00 ","$85.00 ",,
,Apr-01,"200104",$87.22,"$85.00 ","$85.00 ","$85.00 ","$85.00 ","$75.00 ","$85.00 ","$95.00 ","$95.00 ","$95.00 ",,
,Mar-01,"200103",$102.22,"$100.00 ","$100.00 ","$100.00 ","$100.00 ","$90.00 ","$100.00 ","$110.00 ","$110.00 ","$110.00 ",,
,Feb-01,"200102",$122.22,"$120.00 ","$120.00 ","$120.00 ","$120.00 ","$110.00 ","$120.00 ","$130.00 ","$130.00 ","$130.00 ",,
,Jan-01,"200101",$127.22,"$125.00 ","$125.00 ","$125.00 ","$125.00 ","$115.00 ","$125.00 ","$135.00 ","$135.00 ","$135.00 ",,
,Dec-00,"200012",$127.22,"$125.00 ","$125.00 ","$125.00 ","$125.00 ","$115.00 ","$125.00 ","$135.00 ","$135.00 ","$135.00 ",,
,Nov-00,"200011",$127.22,"$125.00 ","$125.00 ","$125.00 ","$125.00 ","$115.00 ","$125.00 ","$135.00 ","$135.00 ","$135.00 ",,
,Oct-00,"200010",$129.44,"$130.00 ","$130.00 ","$130.00 ","$130.00 ","$115.00 ","$125.00 ","$135.00 ","$135.00 ","$135.00 ",,
,Sep-00,"200009",$126.67,"$130.00 ","$130.00 ","$130.00 ","$130.00 ","$115.00 ","$115.00 ","$130.00 ","$130.00 ","$130.00 ",,
,Aug-00,"200008",$131.67,"$135.00 ","$135.00 ","$135.00 ","$135.00 ","$120.00 ","$120.00 ","$135.00 ","$135.00 ","$135.00 ",,
,Jul-00,"200007",$141.67,"$145.00 ","$145.00 ","$145.00 ","$145.00 ","$130.00 ","$130.00 ","$145.00 ","$145.00 ","$145.00 ",,
,Jun-00,"200006",$150.00,"$150.00 ","$150.00 ","$150.00 ","$150.00 ","$150.00 ","$150.00 ","$150.00 ","$150.00 ","$150.00 ",,
,May-00,"200005",$160.56,"$160.00 ","$160.00 ","$160.00 ","$165.00 ","$160.00 ","$160.00 ","$160.00 ","$160.00 ","$160.00 ",,
,Apr-00,"200004",$180.56,"$180.00 ","$180.00 ","$180.00 ","$185.00 ","$180.00 ","$180.00 ","$180.00 ","$180.00 ","$180.00 ",,
,Mar-00,"200003",$190.56,"$190.00 ","$190.00 ","$190.00 ","$195.00 ","$190.00 ","$190.00 ","$190.00 ","$190.00 ","$190.00 ",,
,Feb-00,"200002",$200.56,"$200.00 ","$200.00 ","$200.00 ","$205.00 ","$200.00 ","$200.00 ","$200.00 ","$200.00 ","$200.00 ",,
,Jan-00,"200001",$182.22,"$180.00 ","$180.00 ","$180.00 ","$185.00 ","$180.00 ","$180.00 ","$185.00 ","$185.00 ","$185.00 ",,
,Dec-99,"199912",$172.22,"$170.00 ","$170.00 ","$170.00 ","$175.00 ","$170.00 ","$170.00 ","$175.00 ","$175.00 ","$175.00 ",,
,Nov-99,"199911",$157.22,"$155.00 ","$155.00 ","$155.00 ","$160.00 ","$155.00 ","$155.00 ","$160.00 ","$160.00 ","$160.00 ",,
,Oct-99,"199910",$142.22,"$140.00 ","$140.00 ","$140.00 ","$145.00 ","$140.00 ","$140.00 ","$145.00 ","$145.00 ","$145.00 "," "," "
,Sep-99,"199909",$122.22,"$120.00 ","$120.00 ","$120.00 ","$125.00 ","$120.00 ","$120.00 ","$125.00 ","$125.00 ","$125.00 ",,
,Aug-99,"199908",$107.22,"$105.00 ","$105.00 ","$105.00 ","$110.00 ","$105.00 ","$105.00 ","$110.00 ","$110.00 ","$110.00 ",,
,Jul-99,"199907",$97.22,"$95.00 ","$95.00 ","$95.00 ","$100.00 ","$95.00 ","$95.00 ","$100.00 ","$100.00 ","$100.00 ",,
,Jun-99,"199906",$87.22,"$85.00 ","$85.00 ","$85.00 ","$90.00 ","$85.00 ","$85.00 ","$90.00 ","$90.00 ","$90.00 ",,
,May-99,"199905",$78.89,"$80.00 ","$85.00 ","$85.00 ","$85.00 ","$85.00 ","$80.00 ","$70.00 ","$70.00 ","$70.00 ",,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,"AVG",," ",$138.70,$143.49,$143.25,$143.77,$137.12,$137.81,$150.72,$150.31,$146.61,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
,,," ",,,,,,,,,,,
