"MIXED PAPER HISTORICAL PRICES",,,,,,,,,,,,,
,,,,,,,,,,,,,
,"DATE",,"Avg. Price","Chicago","New England","Buffalo","New York","Southeast","Southwest","Los Angeles","San Francisco","Pacific NW",
,,,,,,,,,,,,,
,Nov-14,,,,,,,,,,,,
,Oct-14,,$54.44,$40.00,$45.00,$35.00,$60.00,$55.00,$55.00,$75.00,$65.00,$60.00,
,Sep-14,,$54.44,$40.00,$45.00,$35.00,$60.00,$55.00,$55.00,$75.00,$65.00,$60.00,
,Aug-14,,$54.44,$40.00,$45.00,$35.00,$60.00,$55.00,$55.00,$75.00,$65.00,$60.00,
,Jul-14,,$54.44,$40.00,$45.00,$35.00,$60.00,$55.00,$55.00,$75.00,$65.00,$60.00,
,Jun-14,,$54.44,$40.00,$45.00,$35.00,$60.00,$55.00,$55.00,$75.00,$65.00,$60.00,
,May-14,,$54.44,$40.00,$45.00,$35.00,$60.00,$55.00,$55.00,$75.00,$65.00,$60.00,
,Apr-14,,$54.44,$40.00,$45.00,$35.00,$60.00,$55.00,$55.00,$75.00,$65.00,$60.00,
,Mar-14,,$54.44,$40.00,$45.00,$35.00,$60.00,$55.00,$55.00,$75.00,$65.00,$60.00,
,Feb-14,,$54.44,$40.00,$45.00,$35.00,$60.00,$55.00,$55.00,$75.00,$65.00,$60.00,
,Jan-14,,$54.44,$40.00,$45.00,$35.00,$60.00,$55.00,$55.00,$75.00,$65.00,$60.00,
,Dec-13,,$54.44,$40.00,$45.00,$35.00,$60.00,$55.00,$55.00,$75.00,$65.00,$60.00,
,Nov-13,,$56.11,$40.00,$45.00,$35.00,$65.00,$55.00,$55.00,$80.00,$70.00,$60.00,
,Oct-13,,$53.89,$40.00,$45.00,$35.00,$50.00,$55.00,$55.00,$80.00,$70.00,$55.00,
,Sep-13,,$53.89,$40.00,$45.00,$35.00,$50.00,$55.00,$55.00,$80.00,$70.00,$55.00," "
,Aug-13,,$53.89,$40.00,$45.00,$35.00,$50.00,$55.00,$55.00,$80.00,$70.00,$55.00,
,Jul-13,,$58.89,$45.00,$50.00,$35.00,$55.00,$60.00,$65.00,$85.00,$75.00,$60.00,
,Jun-13,,$59.44,$50.00,$50.00,$35.00,$55.00,$60.00,$65.00,$85.00,$75.00,$60.00,
,May-13,,$61.67,$55.00,$55.00,$40.00,$60.00,$60.00,$65.00,$85.00,$75.00,$60.00,
,Apr-13,,$70.56,$60.00,$65.00,$50.00,$70.00,$70.00,$70.00,$95.00,$85.00,$70.00,
,Mar-13,,$70.56,$60.00,$65.00,$45.00,$70.00,$70.00,$70.00,$95.00,$85.00,$75.00,
,Feb-13,,$66.11,$50.00,$60.00,$40.00,$65.00,$70.00,$60.00,$90.00,$85.00,$75.00,
,Jan-13,,$63.89,$50.00,$55.00,$40.00,$60.00,$70.00,$65.00,$85.00,$75.00,$75.00,
,Dec-12,,$66.11,$50.00,$55.00,$40.00,$60.00,$75.00,$65.00,$85.00,$75.00,$90.00,
,Nov-12,,$64.44,$40.00,$55.00,$40.00,$60.00,$65.00,$60.00,$90.00,$80.00,$90.00,
,Oct-12,,$57.78,$40.00,$50.00,$35.00,$55.00,$55.00,$55.00,$80.00,$70.00,$80.00,
,Sep-12,,$46.11,$40.00,$45.00,$45.00,$50.00,$55.00,$45.00,$65.00,$5.00,$65.00,
,Aug-12,,$66.67,$55.00,$60.00,$50.00,$75.00,$70.00,$60.00,$80.00,$70.00,$80.00,
,Jul-12,,$78.89,$65.00,$70.00,$50.00,$85.00,$80.00,$80.00,$95.00,$85.00,$100.00,
,Jun-12,,$86.67,$75.00,$80.00,$60.00,$95.00,$90.00,$80.00,$105.00,$90.00,$105.00,
,May-12,,$88.33,$75.00,$80.00,$60.00,$100.00,$90.00,$90.00,$105.00,$90.00,$105.00,
,Apr-12,,$91.67,$80.00,$85.00,$65.00,$105.00,$95.00,$95.00,$105.00,$90.00,$105.00,
,Mar-12,,$88.33,$80.00,$80.00,$60.00,$100.00,$95.00,$95.00,$105.00,$90.00,$90.00,
,Feb-12,,$86.67,$80.00,$80.00,$60.00,$95.00,$90.00,$90.00,$105.00,$90.00,$90.00,
,Jan-12,,$78.33,$70.00,$70.00,$60.00,$80.00,$75.00,$75.00,$100.00,$85.00,$90.00,
,Dec-11,,$73.89,$70.00,$60.00,$70.00,$70.00,$60.00,$60.00,$100.00,$85.00,$90.00,
,Nov-11,,$95.00,$75.00,$90.00,$80.00,$100.00,$100.00,$105.00,$110.00,$95.00,$100.00,
,Oct-11,,$133.89,$110.00,$130.00,$110.00,$150.00,$140.00,$135.00,$155.00,$140.00,$135.00,
,Sep-11,,$137.22,$120.00,$130.00,$110.00,$150.00,$150.00,$145.00,$155.00,$140.00,$135.00,
,Aug-11,,$140.00,$120.00,$130.00,$120.00,$150.00,$150.00,$155.00,$155.00,$140.00,$140.00,
,Jul-11,,$122.22,$100.00,$120.00,$100.00,$120.00,$135.00,$140.00,$145.00,$115.00,$125.00,
,Jun-11,,$110.00,$90.00,$80.00,$80.00,$110.00,$125.00,$130.00,$145.00,$115.00,$115.00,
,May-11,,$106.67,$80.00,$70.00,$70.00,$110.00,$125.00,$130.00,$145.00,$115.00,$115.00,
,Apr-11,,$105.56,$80.00,$70.00,$70.00,$100.00,$125.00,$130.00,$145.00,$115.00,$115.00,
,Mar-11,,$106.11,$80.00,$70.00,$70.00,$100.00,$125.00,$135.00,$145.00,$115.00,$115.00,
,Feb-11,,$102.22,$80.00,$70.00,$60.00,$90.00,$135.00,$125.00,$140.00,$110.00,$110.00,
,Jan-11,,$95.56,$70.00,$70.00,$60.00,$90.00,$125.00,$115.00,$130.00,$100.00,$100.00,
,Dec-10,,$91.67,$70.00,$70.00,$60.00,$90.00,$105.00,$100.00,$130.00,$100.00,$100.00,
,Nov-10,,$90.56,$70.00,$70.00,$60.00,$90.00,$100.00,$95.00,$130.00,$100.00,$100.00,
,Oct-10,,$86.11,$70.00,$70.00,$55.00,$80.00,$100.00,$95.00,$115.00,$85.00,$105.00,
,Sep-10,,$73.89,$60.00,$60.00,$45.00,$60.00,$80.00,$85.00,$105.00,$75.00,$95.00,
,Aug-10,,$66.67,$60.00,$45.00,$30.00,$45.00,$80.00,$85.00,$95.00,$75.00,$85.00,
,Jul-10,,$71.67,$60.00,$45.00,$35.00,$45.00,$95.00,$100.00,$105.00,$75.00,$85.00,
,Jun-10,,$90.00,$70.00,$75.00,$75.00,$75.00,$110.00,$115.00,$110.00,$100.00,$80.00,
,May-10,,$94.44,$75.00,$80.00,$80.00,$80.00,$110.00,$115.00,$115.00,$115.00,$80.00,
,Apr-10,,$101.11,$85.00,$90.00,$90.00,$90.00,$110.00,$115.00,$125.00,$125.00,$80.00,
" ",Mar-10,,$101.11,$85.00,$90.00,$90.00,$90.00,$110.00,$115.00,$125.00,$125.00,$80.00,
,Feb-10,,$82.22,$65.00,$70.00,$70.00,$70.00,$90.00,$95.00,$105.00,$105.00,$70.00,
,Jan-10,,$79.44,$65.00,$65.00,$65.00,$65.00,$80.00,$85.00,$110.00,$110.00,$70.00,
,Dec-09,,$71.67,$55.00,$55.00,$55.00,$55.00,$70.00,$75.00,$100.00,$100.00,$80.00,
,Nov-09,,$69.44,$55.00,$50.00,$50.00,$50.00,$70.00,$70.00,$100.00,$100.00,$80.00,
,Oct-09,,$66.11,$55.00,$50.00,$50.00,$50.00,$70.00,$60.00,$95.00,$95.00,$70.00,
,Sep-09,,$63.89,$55.00,$50.00,$50.00,$50.00,$60.00,$60.00,$90.00,$90.00,$70.00,
,Aug-09,,$53.89,$45.00,$40.00,$40.00,$40.00,$50.00,$50.00,$80.00,$80.00,$60.00,
,Jul-09,,$44.44,$35.00,$35.00,$35.00,$35.00,$45.00,$45.00,$65.00,$65.00,$40.00,
,Jun-09,,$40.00,$30.00,$30.00,$30.00,$30.00,$35.00,$35.00,$65.00,$65.00,$40.00,
,May-09,,$30.00,$20.00,$20.00,$20.00,$20.00,$25.00,$25.00,$55.00,$55.00,$30.00,
,"Apr-09",,$24.44,$20.00,$20.00,$20.00,$15.00,$15.00,$15.00,$45.00,$45.00,$25.00,
,"Mar-09",,$20.56,$20.00,$15.00,$15.00,$10.00,$10.00,$15.00,$40.00,$40.00,$20.00,
,"Feb-09",,$15.56,$15.00,$15.00,$15.00,$5.00,$5.00,$5.00,$30.00,$30.00,$20.00,
,"Jan-09",,$9.44,$5.00,$5.00,$5.00,$0.00,$5.00,$5.00,$25.00,$25.00,$10.00,
,Dec-08,,$9.44,$5.00,$5.00,$5.00,$0.00,$5.00,$5.00,$25.00,$25.00,$10.00,
,Nov-08,,$11.11,$10.00,$5.00,$5.00,$0.00,$5.00,$5.00,$30.00,$30.00,$10.00,
,Oct-08,,$83.33,$65.00,$65.00,$65.00,$75.00,$85.00,$85.00,$105.00,$105.00,$100.00,
,Sep-08,,$97.78,$85.00,$85.00,$85.00,$90.00,$95.00,$100.00,$115.00,$115.00,$110.00,
,Aug-08,,$99.44,$85.00,$85.00,$85.00,$90.00,$95.00,$100.00,$120.00,$120.00,$115.00,
,Jul-08,,$101.11,$85.00,$85.00,$85.00,$90.00,$95.00,$100.00,$125.00,$125.00,$120.00,
,Jun-08,,$101.67,$85.00,$85.00,$85.00,$90.00,$90.00,$100.00,$130.00,$130.00,$120.00,
,May-08,,$103.89,$85.00,$85.00,$85.00,$90.00,$95.00,$100.00,$135.00,$135.00,$125.00,
,Apr-08,,$107.22,$90.00,$85.00,$85.00,$95.00,$95.00,$105.00,$140.00,$140.00,$130.00,
,Mar-08,,$110.56,$90.00,$85.00,$85.00,$95.00,$95.00,$105.00,$150.00,$150.00,$140.00,
,Feb-08,,$106.67,$90.00,$85.00,$70.00,$95.00,$95.00,$105.00,$140.00,$140.00,$140.00,
,"Jan-08",,$102.78,$90.00,$85.00,$70.00,$95.00,$95.00,$100.00,$130.00,$130.00,$130.00,
,Dec-07,,$101.67,$85.00,$85.00,$70.00,$95.00,$95.00,$95.00,$130.00,$130.00,$130.00,
,Nov-07,,$101.67,$85.00,$85.00,$70.00,$95.00,$95.00,$95.00,$130.00,$130.00,$130.00,
,Oct-07,,$103.89,$85.00,$85.00,$70.00,$95.00,$115.00,$95.00,$130.00,$130.00,$130.00,
,Sep-07,,$100.56,$85.00,$85.00,$65.00,$95.00,$110.00,$90.00,$125.00,$125.00,$125.00,
,Aug-07,,$98.33,$80.00,$85.00,$65.00,$95.00,$110.00,$90.00,$120.00,$120.00,$120.00,
,Jul-07,,$93.89,$70.00,$85.00,$65.00,$85.00,$90.00,$90.00,$120.00,$120.00,$120.00,
,Jun-07,,$77.22,$65.00,$65.00,$60.00,$65.00,$70.00,$70.00,$100.00,$100.00,$100.00,
,May-07,,$78.89,$65.00,$70.00,$65.00,$70.00,$70.00,$70.00,$100.00,$100.00,$100.00,
,Apr-07,,$87.78,$75.00,$80.00,$80.00,$80.00,$80.00,$80.00,$105.00,$105.00,$105.00,
,Mar-07,,$87.78,$75.00,$80.00,$80.00,$80.00,$80.00,$80.00,$105.00,$105.00,$105.00,
,Feb-07,,$80.00,$70.00,$70.00,$70.00,$70.00,$70.00,$70.00,$100.00,$100.00,$100.00,
,Jan-07,,$65.56,$60.00,$50.00,$50.00,$50.00,$55.00,$55.00,$90.00,$90.00,$90.00,
,Dec-06,,$55.56,$50.00,$40.00,$40.00,$40.00,$45.00,$45.00,$80.00,$80.00,$80.00,
,Nov-06,,$52.78,$50.00,$45.00,$40.00,$40.00,$45.00,$45.00,$70.00,$70.00,$70.00,
,Oct-06,,$52.22,$55.00,$45.00,$40.00,$40.00,$45.00,$50.00,$65.00,$65.00,$65.00,
,Sep-06,,$53.33,$55.00,$45.00,$40.00,$40.00,$55.00,$50.00,$65.00,$65.00,$65.00,
,Aug-06,,$53.33,$55.00,$45.00,$40.00,$40.00,$55.00,$50.00,$65.00,$65.00,$65.00,
,Jul-06,,$52.78,$55.00,$45.00,$40.00,$40.00,$55.00,$45.00,$65.00,$65.00,$65.00,
,Jun-06,,$50.56,$50.00,$45.00,$40.00,$40.00,$40.00,$45.00,$65.00,$65.00,$65.00,
,May-06,,$50.56,$50.00,$45.00,$40.00,$40.00,$40.00,$45.00,$65.00,$65.00,$65.00,
,Apr-06,,$50.56,$50.00,$45.00,$40.00,$40.00,$40.00,$45.00,$65.00,$65.00,$65.00,
,Mar-06,,$48.89,$45.00,$45.00,$40.00,$40.00,$35.00,$40.00,$65.00,$65.00,$65.00,
,Feb-06,,$48.33,$40.00,$45.00,$40.00,$40.00,$35.00,$40.00,$65.00,$65.00,$65.00,
,Jan-06,,$49.44,$40.00,$45.00,$40.00,$40.00,$40.00,$45.00,$65.00,$65.00,$65.00,
,Dec-05,,$47.78,$40.00,$45.00,$40.00,$40.00,$40.00,$45.00,$60.00,$60.00,$60.00,
,Nov-05,,$48.33,$45.00,$45.00,$40.00,$40.00,$40.00,$45.00,$60.00,$60.00,$60.00,
,Oct-05,,$49.44,$45.00,$45.00,$40.00,$45.00,$45.00,$45.00,$60.00,$60.00,$60.00,
,Sep-05,,$51.11,$55.00,$45.00,$40.00,$45.00,$45.00,$50.00,$60.00,$60.00,$60.00,
,Aug-05,,$51.11,$55.00,$45.00,$40.00,$45.00,$45.00,$50.00,$60.00,$60.00,$60.00,
,Jul-05,,$61.11,$65.00,$55.00,$50.00,$55.00,$55.00,$60.00,$70.00,$70.00,$70.00,
,Jun-05,,$61.11,$65.00,$55.00,$50.00,$55.00,$55.00,$60.00,$70.00,$70.00,$70.00,
,May-05,,$61.67,$65.00,$55.00,$50.00,$55.00,$55.00,$65.00,$70.00,$70.00,$70.00,
,Apr-05,,$61.67,$65.00,$55.00,$50.00,$55.00,$55.00,$65.00,$70.00,$70.00,$70.00,
,Mar-05,,$61.67,$65.00,$55.00,$50.00,$55.00,$55.00,$65.00,$70.00,$70.00,$70.00,
,Feb-05,,$62.22,$65.00,$55.00,$50.00,$55.00,$60.00,$65.00,$70.00,$70.00,$70.00,
,"Jan-05",,$62.22,$65.00,$55.00,$50.00,$55.00,$60.00,$65.00,$70.00,$70.00,$70.00,
,Dec-04,,$62.22,$65.00,$55.00,$50.00,$55.00,$60.00,$65.00,$70.00,$70.00,$70.00,
,Nov-04,,$62.22,$65.00,$55.00,$50.00,$55.00,$60.00,$65.00,$70.00,$70.00,$70.00,
,Oct-04,,$61.11,$65.00,$55.00,$50.00,$55.00,$55.00,$60.00,$70.00,$70.00,$70.00,
,Sep-04,,$61.11,$65.00,$55.00,$50.00,$55.00,$55.00,$60.00,$70.00,$70.00,$70.00,
,Aug-04,,$61.67,$70.00,$55.00,$50.00,$55.00,$55.00,$60.00,$70.00,$70.00,$70.00,
,Jul-04,,$61.67,$70.00,$55.00,$50.00,$55.00,$55.00,$60.00,$70.00,$70.00,$70.00,
,Jun-04,,$61.67,$70.00,$55.00,$50.00,$55.00,$55.00,$60.00,$70.00,$70.00,$70.00,
,May-04,,$62.78,$70.00,$55.00,$55.00,$60.00,$55.00,$60.00,$70.00,$70.00,$70.00,
,Apr-04,,$61.11,$65.00,$55.00,$55.00,$60.00,$50.00,$55.00,$70.00,$70.00,$70.00,
,Mar-04,,$60.56,$60.00,$55.00,$55.00,$60.00,$50.00,$55.00,$70.00,$70.00,$70.00,
,Feb-04,,$52.22,$55.00,$50.00,$50.00,$50.00,$40.00,$45.00,$60.00,$60.00,$60.00,
,Jan-04,,$47.22,$50.00,$45.00,$45.00,$45.00,$35.00,$40.00,$55.00,$55.00,$55.00,
,Dec-03,,$48.89,$50.00,$50.00,$50.00,$50.00,$35.00,$40.00,$55.00,$55.00,$55.00,
,Nov-03,,$46.67,$45.00,$45.00,$45.00,$45.00,$35.00,$40.00,$55.00,$55.00,$55.00,
,Oct-03,"200310",$45.56,$45.00,$45.00,$45.00,$45.00,$30.00,$35.00,$55.00,$55.00,$55.00,
,Sep-03,"200309",$45.00,$40.00,$45.00,$45.00,$45.00,$30.00,$35.00,$55.00,$55.00,$55.00,
,Aug-03,"200308",$43.33,$40.00,$40.00,$40.00,$40.00,$30.00,$35.00,$55.00,$55.00,$55.00,
,Jul-03,"200307",$43.89,$40.00,$40.00,$40.00,$45.00,$30.00,$35.00,$55.00,$55.00,$55.00,
,Jun-03,"200306",$48.89,$45.00,$45.00,$45.00,$50.00,$35.00,$40.00,$60.00,$60.00,$60.00,
,May-03,"200305",$48.89,$45.00,$45.00,$45.00,$50.00,$35.00,$40.00,$60.00,$60.00,$60.00,
,Apr-03,"200304",$49.44,$45.00,$45.00,$45.00,$55.00,$35.00,$40.00,$60.00,$60.00,$60.00,
,Mar-03,"200303",$47.22,$40.00,$40.00,$40.00,$50.00,$35.00,$40.00,$60.00,$60.00,$60.00,
,Feb-03,"200302",$40.00,$35.00,$35.00,$35.00,$40.00,$30.00,$35.00,$50.00,$50.00,$50.00,
,Jan-03,"200301",$41.11,$35.00,$35.00,$35.00,$40.00,$35.00,$40.00,$50.00,$50.00,$50.00,
,Dec-02,"200212",$42.78,$35.00,$40.00,$40.00,$40.00,$40.00,$40.00,$50.00,$50.00,$50.00,
,Nov-02,"200211",$47.22,$35.00,$45.00,$45.00,$45.00,$45.00,$45.00,$55.00,$55.00,$55.00,
,Oct-02,"200210",$47.78,$40.00,$45.00,$45.00,$45.00,$45.00,$45.00,$55.00,$55.00,$55.00,
,Sep-02,"200209",$47.78,$40.00,$45.00,$45.00,$45.00,$45.00,$45.00,$55.00,$55.00,$55.00,
,Aug-02,"200208",$50.00,$45.00,$50.00,$50.00,$50.00,$45.00,$45.00,$55.00,$55.00,$55.00,
,Jul-02,"200207",$53.89,$45.00,$50.00,$50.00,$60.00,$50.00,$50.00,$60.00,$60.00,$60.00,
,Jun-02,"200206",$43.33,$30.00,$45.00,$45.00,$50.00,$35.00,$35.00,$50.00,$50.00,$50.00,
,May-02,"200205",$33.33,$20.00,$25.00,$25.00,$30.00,$25.00,$25.00,$50.00,$50.00,$50.00,
,Apr-02,"200204",$29.44,$20.00,$20.00,$20.00,$25.00,$20.00,$25.00,$45.00,$45.00,$45.00,
,Mar-02,"200203",$29.44,$20.00,$20.00,$20.00,$25.00,$20.00,$25.00,$45.00,$45.00,$45.00,
,Feb-02,"200202",$29.44,$20.00,$20.00,$20.00,$25.00,$20.00,$25.00,$45.00,$45.00,$45.00,
,Jan-02,"200201",$29.44,$20.00,$20.00,$20.00,$25.00,$20.00,$25.00,$45.00,$45.00,$45.00,
,Dec-01,"200112",$29.44,$20.00,$20.00,$20.00,$25.00,$20.00,$25.00,$45.00,$45.00,$45.00,
,Nov-01,"200111",$29.44,$20.00,$20.00,$20.00,$25.00,$20.00,$25.00,$45.00,$45.00,$45.00,
,Oct-01,"200110",$29.44,$20.00,$20.00,$20.00,$25.00,$20.00,$25.00,$45.00,$45.00,$45.00,
,Sep-01,"200109",$29.44,$20.00,$20.00,$20.00,$25.00,$20.00,$25.00,$45.00,$45.00,$45.00,
,Aug-01,"200108",$28.89,$20.00,$20.00,$20.00,$20.00,$20.00,$25.00,$45.00,$45.00,$45.00,
,Jul-01,"200107",$27.78,$20.00,$15.00,$15.00,$20.00,$20.00,$25.00,$45.00,$45.00,$45.00,
,Jun-01,"200106",$27.78,$20.00,$15.00,$15.00,$20.00,$20.00,$25.00,$45.00,$45.00,$45.00,
